runname,id,nDCG@0050,D#nDCG@0050,I-rec@0050
FRDC-S-C-4A,0028,0.1144,0.1269,0.1481
FRDC-S-C-4A,0029,0.2369,0.2488,0.28
FRDC-S-C-4A,0030,0.1459,0.174,0.2
FRDC-S-C-4A,0031,0.1578,0.2568,0.3571
FRDC-S-C-4A,0032,0.4228,0.4151,0.4231
FRDC-S-C-4A,0033,0.0,0.0,0.0
CNU-S-C-3A,0001,0.2068,0.1958,0.2143
CNU-S-C-3A,0002,0.2303,0.2822,0.3571
CNU-S-C-3A,0003,0.2426,0.2225,0.2308
CNU-S-C-3A,0004,0.1362,0.0837,0.05
CNU-S-C-3A,0005,0.2147,0.1855,0.1905
CNU-S-C-3A,0006,0.2209,0.2254,0.25
CNU-S-C-3A,0007,0.0632,0.043,0.0435
CNU-S-C-3A,0008,0.1421,0.5613,1.0
CNU-S-C-3A,0009,0.0801,0.0699,0.0769
CNU-S-C-3A,0010,0.1094,0.1032,0.125
CNU-S-C-3A,0011,0.1457,0.1232,0.125
CNU-S-C-3A,0012,0.1003,0.0827,0.0667
CNU-S-C-3A,0013,0.2181,0.4289,0.6667
CNU-S-C-3A,0014,0.1918,0.1027,0.04
CNU-S-C-3A,0015,0.2418,0.2233,0.2353
CNU-S-C-3A,0016,0.0262,0.034,0.0455
CNU-S-C-3A,0017,0.0,0.0,0.0
CNU-S-C-3A,0018,0.0311,0.0566,0.0833
CNU-S-C-3A,0019,0.1453,0.1174,0.1176
CNU-S-C-3A,0020,0.1687,0.1968,0.25
CNU-S-C-3A,0021,0.2418,0.2445,0.28
CNU-S-C-3A,0022,0.1989,0.1426,0.1111
CNU-S-C-3A,0023,0.1178,0.1164,0.125
CNU-S-C-3A,0024,0.4485,0.5512,0.6571
CNU-S-C-3A,0025,0.0506,0.0724,0.0909
CNU-S-C-3A,0026,0.14,0.1567,0.2
CNU-S-C-3A,0027,0.1818,0.2773,0.4
CNU-S-C-3A,0028,0.2098,0.1268,0.0741
CNU-S-C-3A,0029,0.0378,0.0402,0.04
CNU-S-C-3A,0030,0.0,0.02,0.04
CNU-S-C-3A,0031,0.1682,0.1465,0.1429
CNU-S-C-3A,0032,0.1562,0.1321,0.1154
CNU-S-C-3A,0033,0.0,0.0,0.0
TUTA1-S-C-1A,0001,0.3231,0.3735,0.4286
TUTA1-S-C-1A,0002,0.4516,0.431,0.4286
TUTA1-S-C-1A,0003,0.6333,0.6972,0.7692
TUTA1-S-C-1A,0004,0.3183,0.3248,0.35
TUTA1-S-C-1A,0005,0.6345,0.642,0.6667
TUTA1-S-C-1A,0006,0.5829,0.5589,0.55
TUTA1-S-C-1A,0007,0.2362,0.3836,0.5217
TUTA1-S-C-1A,0008,0.312,0.3903,0.5
TUTA1-S-C-1A,0009,0.262,0.3172,0.3846
TUTA1-S-C-1A,0010,0.4247,0.4987,0.5625
TUTA1-S-C-1A,0011,0.5167,0.5,0.5
TUTA1-S-C-1A,0012,0.5025,0.5762,0.6667
TUTA1-S-C-1A,0013,0.7399,0.863,1.0
TUTA1-S-C-1A,0014,0.4817,0.503,0.52
TUTA1-S-C-1A,0015,0.5743,0.5169,0.4706
TUTA1-S-C-1A,0016,0.3616,0.4325,0.5
TUTA1-S-C-1A,0017,0.2255,0.3163,0.4
TUTA1-S-C-1A,0018,0.0739,0.1195,0.1667
TUTA1-S-C-1A,0019,0.5542,0.5098,0.4706
TUTA1-S-C-1A,0020,0.5695,0.6799,0.8
TUTA1-S-C-1A,0021,0.3828,0.3666,0.36
TUTA1-S-C-1A,0022,0.5392,0.5725,0.6111
TUTA1-S-C-1A,0023,0.565,0.4787,0.375
TUTA1-S-C-1A,0024,0.1463,0.2486,0.3429
TUTA1-S-C-1A,0025,0.2989,0.4259,0.5455
TUTA1-S-C-1A,0026,0.343,0.3856,0.45
TUTA1-S-C-1A,0027,0.7428,0.8641,1.0
TUTA1-S-C-1A,0028,0.4114,0.4476,0.4815
TUTA1-S-C-1A,0029,0.2041,0.3152,0.44
TUTA1-S-C-1A,0030,0.1742,0.2886,0.4
TUTA1-S-C-1A,0031,0.0635,0.0702,0.0714
TUTA1-S-C-1A,0032,0.3364,0.349,0.3846
TUTA1-S-C-1A,0033,0.0249,0.0418,0.0625
FRDC-S-C-1A,0001,0.4217,0.4215,0.4286
FRDC-S-C-1A,0002,0.2821,0.3622,0.4286
FRDC-S-C-1A,0003,0.4914,0.4252,0.3846
FRDC-S-C-1A,0004,0.1357,0.1033,0.075
