,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
THUSAM-S-C-4A,15,0.2102,0.6077,1,0.6321,0.6299,0.6471,0.666666667,0.412533334
THUSAM-S-C-4A,16,0.1348,0.2646,0.4,0.1645,0.1569,0.1591,0.45,0.0948375
THUSAM-S-C-4A,17,0,0,0,0.0626,0.0832,0.1,0,0
THUSAM-S-C-4A,18,0.2256,0.4441,0.6667,0.3036,0.2657,0.25,0.15,0.039855
THUSAM-S-C-4A,19,0.1799,0.3389,0.5,0.492,0.3814,0.2941,0.075,0.028605
THUSAM-S-C-4A,20,0.1664,0.2823,0.4,0.5142,0.4884,0.45,0.375,0.18315
THUSAM-S-C-4A,21,0.249,0.4579,0.6667,0.1144,0.1177,0.12,0.08,0.009416
THUSAM-S-C-4A,22,0.095,0.1764,0.25,0.4932,0.3216,0.1667,0.125,0.0402
THUSAM-S-C-4A,23,0.1411,0.5663,1,0.4729,0.3478,0.25,1,0.3478
THUSAM-S-C-4A,24,0.1416,0.396,0.6667,0.1948,0.2153,0.2571,0.186666667,0.040189333
THUSAM-S-C-4A,25,0.2848,0.2421,0.2,0.6202,0.6219,0.6364,0.625,0.3886875
THUSAM-S-C-4A,26,0.2081,0.4051,0.6,0.4768,0.454,0.45,0.265396825,0.120490159
THUSAM-S-C-4A,27,0.0819,0.3749,0.6667,0.5308,0.5528,0.6,0.875,0.4837
THUSAM-S-C-4A,28,0.1876,0.3428,0.5,0.5484,0.467,0.4074,0.302777778,0.141397222
THUSAM-S-C-4A,29,0.233,0.2816,0.3333,0.2655,0.2812,0.32,0.077777778,0.021871111
THUSAM-S-C-4A,30,0.1145,0.2141,0.3333,0.3164,0.3238,0.36,0.258333333,0.083648333
THUSAM-S-C-4A,31,0.1568,0.4102,0.6667,0.2845,0.2387,0.2143,0.277777778,0.066305556
THUSAM-S-C-4A,32,0.1242,0.313,0.5,0.4812,0.382,0.3077,1,0.382
THUSAM-S-C-4A,33,0.2275,0.6377,1,0,0,0,0,0
THUSAM-S-C-5A,1,0.5263,0.6977,0.8,0.6813,0.6232,0.5714,0.48,0.317016
THUSAM-S-C-5A,2,0.2148,0.3132,0.4,0.3818,0.4744,0.5714,0.482638889,0.190063194
THUSAM-S-C-5A,3,0.2523,0.3152,0.4,0.3619,0.5353,0.6923,0.35,0.1488375
THUSAM-S-C-5A,4,0.229,0.3705,0.5,0.5515,0.4195,0.3,0.45,0.17775
THUSAM-S-C-5A,5,0.4627,0.5557,0.6,0.7261,0.6667,0.619,0.645,0.394224
THUSAM-S-C-5A,6,0.383,0.457,0.6,0.4624,0.4073,0.35,0.744444444,0.321711666
THUSAM-S-C-5A,7,0.1942,0.3589,0.5,0.3285,0.2166,0.1304,0.15,0.0431625
THUSAM-S-C-5A,8,0.2564,0.3758,0.5,0.5683,0.5239,0.5,0.580952381,0.261341429
THUSAM-S-C-5A,9,0.2694,0.4339,0.6,0.2435,0.3333,0.4231,0.583333333,0.223766667
THUSAM-S-C-5A,10,0.338,0.5422,0.75,0.3623,0.593,0.8125,0.4875,0.276705
THUSAM-S-C-5A,11,0.4794,0.5756,0.75,0.2745,0.2954,0.3125,0.458333333,0.199604167
THUSAM-S-C-5A,12,0.5598,0.7982,1,0.7857,0.6243,0.4667,0.9,0.640125
THUSAM-S-C-5A,13,0.441,0.7409,1,0.8529,0.9222,1,0.45,0.3741975
THUSAM-S-C-5A,14,0.1128,0.4396,0.75,0.5012,0.5982,0.72,0.5,0.25945
THUSAM-S-C-5A,15,0.2176,0.6107,1,0.8356,0.6192,0.4118,0.525714286,0.323288
THUSAM-S-C-5A,16,0.3937,0.4791,0.6,0.2877,0.364,0.4318,0.55,0.2318525
THUSAM-S-C-5A,17,0,0,0,0.0926,0.1237,0.15,0,0
THUSAM-S-C-5A,18,0.0477,0.1915,0.3333,0.4309,0.4125,0.4167,0.233333333,0.09625
THUSAM-S-C-5A,19,0.244,0.6201,1,0.7618,0.5827,0.4118,0.52,0.303004
THUSAM-S-C-5A,20,0.5413,0.5734,0.6,0.4893,0.5263,0.55,0.375,0.1973625
THUSAM-S-C-5A,21,0.1841,0.4157,0.6667,0.1477,0.2386,0.32,0.18,0.042948
THUSAM-S-C-5A,22,0.0836,0.1603,0.25,0.391,0.3239,0.2778,0.025,0.0080975
THUSAM-S-C-5A,23,0.1942,0.5913,1,0.6783,0.4553,0.25,0.7,0.31871
THUSAM-S-C-5A,24,0.1692,0.4278,0.6667,0.3408,0.3092,0.2857,0.3,0.09276
THUSAM-S-C-5A,25,0.2848,0.2421,0.2,0.6219,0.6233,0.6364,0.625,0.3895625
THUSAM-S-C-5A,26,0.0791,0.1479,0.2,0.5262,0.4533,0.4,0.18,0.081594
THUSAM-S-C-5A,27,0.5735,0.4503,0.3333,0.8772,0.735,0.6,0.651111111,0.478566667
THUSAM-S-C-5A,28,0.3336,0.4179,0.5,0.6798,0.6279,0.5926,0.85,0.533715
THUSAM-S-C-5A,29,0.2687,0.2886,0.3333,0.4101,0.4424,0.48,0.317142857,0.140304
THUSAM-S-C-5A,30,0.1145,0.2141,0.3333,0.3164,0.3238,0.36,0.258333333,0.083648333
THUSAM-S-C-5A,31,0.1568,0.4102,0.6667,0.2669,0.1938,0.1429,0.444444444,0.086133333
THUSAM-S-C-5A,32,0.0372,0.1452,0.25,0.6597,0.6788,0.6923,0.15,0.10182
THUSAM-S-C-5A,33,0.2275,0.6377,1,0,0,0,0,0
TUTA1-S-C-1A,1,0.039,0.3215,0.6,0.3231,0.3735,0.4286,0.37,0.128575
TUTA1-S-C-1A,2,0.018,0.1068,0.2,0.4516,0.431,0.4286,0.634782609,0.170693044
TUTA1-S-C-1A,3,0.0144,0.1055,0.2,0.6333,0.6972,0.7692,0.324324324,0.130167567
TUTA1-S-C-1A,4,0.0294,0.5143,1,0.3183,0.3248,0.35,0.045454545,0.019070454
TUTA1-S-C-1A,5,0.2469,0.3456,0.4,0.6345,0.642,0.6667,0.318181818,0.157118182
TUTA1-S-C-1A,6,0.3383,0.3337,0.4,0.5829,0.5589,0.55,0.653439153,0.291629894
TUTA1-S-C-1A,7,0.0075,0.254,0.5,0.2362,0.3836,0.5217,0.01875,0.0059775
TUTA1-S-C-1A,8,0.0169,0.2601,0.5,0.312,0.3903,0.5,0.1,0.03252
TUTA1-S-C-1A,9,0.0168,0.1064,0.2,0.262,0.3172,0.3846,0.696969697,0.147618182
TUTA1-S-C-1A,10,0.2459,0.3977,0.5,0.4247,0.4987,0.5625,0.106060606,0.047536364
TUTA1-S-C-1A,11,0.1857,0.324,0.5,0.5167,0.5,0.5,0.238095238,0.098095238
TUTA1-S-C-1A,12,0.4169,0.7358,1,0.5025,0.5762,0.6667,0.333333333,0.218666666
TUTA1-S-C-1A,13,0.0149,0.259,0.5,0.7399,0.863,1,0.393939394,0.221
TUTA1-S-C-1A,14,0.0454,0.2737,0.5,0.4817,0.503,0.52,0.126666667,0.049191
TUTA1-S-C-1A,15,0.6043,0.6334,0.6667,0.5743,0.5169,0.4706,0.237908497,0.136833072
TUTA1-S-C-1A,16,0.0337,0.2162,0.4,0.3616,0.4325,0.5,0.034482759,0.011184483
TUTA1-S-C-1A,17,0.1319,0.3712,0.6,0.2255,0.3163,0.4,0.055,0.0173965
TUTA1-S-C-1A,18,0.0095,0.1716,0.3333,0.0739,0.1195,0.1667,0,0
TUTA1-S-C-1A,19,0.0378,0.2685,0.5,0.5542,0.5098,0.4706,0.555555556,0.283222222
TUTA1-S-C-1A,20,0.0748,0.2398,0.4,0.5695,0.6799,0.8,0.108333333,0.073655833
TUTA1-S-C-1A,21,0.0385,0.354,0.6667,0.3828,0.3666,0.36,0.064814815,0.023761111
TUTA1-S-C-1A,22,0.145,0.3318,0.5,0.5392,0.5725,0.6111,0.274458874,0.157127705
TUTA1-S-C-1A,23,0.2398,0.3947,0.5,0.565,0.4787,0.375,0.244444444,0.117015555
TUTA1-S-C-1A,24,0,0,0,0.1463,0.2486,0.3429,0.078341014,0.019475576
TUTA1-S-C-1A,25,0.0082,0.1042,0.2,0.2989,0.4259,0.5455,0.010416667,0.004436458
TUTA1-S-C-1A,26,0.0462,0.3225,0.6,0.343,0.3856,0.45,0.34375,0.13255
TUTA1-S-C-1A,27,0.0502,0.1914,0.3333,0.7428,0.8641,1,0.860606061,0.743649697
TUTA1-S-C-1A,28,0.1698,0.5806,1,0.4114,0.4476,0.4815,0.31,0.138756
TUTA1-S-C-1A,29,0.0186,0.1737,0.3333,0.2041,0.3152,0.44,0.071428571,0.022514286
TUTA1-S-C-1A,30,0.0848,0.3685,0.6667,0.1742,0.2886,0.4,0.205555556,0.059323333
TUTA1-S-C-1A,31,0.2191,0.2986,0.3333,0.0635,0.0702,0.0714,0,0
TUTA1-S-C-1A,32,0.0966,0.1805,0.25,0.3364,0.349,0.3846,0.166666667,0.058166667
TUTA1-S-C-1A,33,0,0,0,0.0249,0.0418,0.0625,0,0
