,,FLS,,,SLS,,,,
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,H-score,H-Measure
FRDC-S-C-1A,11,0.5233,0.6543,0.75,0.2384,0.1709,0.125,0.353333333,0.145785333
FRDC-S-C-1A,12,0.8648,0.9271,1,0.3165,0.3135,0.3333,0.18,0.111654
FRDC-S-C-1A,13,0.609,0.8304,1,0.6197,0.8015,1,0.393333333,0.320940333
FRDC-S-C-1A,14,0.5112,0.7701,1,0.376,0.3542,0.36,0.36,0.202374
FRDC-S-C-1A,15,0.7874,0.8815,1,0.5612,0.5366,0.5294,0.365,0.25880325
FRDC-S-C-1A,16,0.9146,0.7621,0.6,0.1215,0.1672,0.2045,0.273333333,0.127004333
FRDC-S-C-1A,17,0.9674,0.6813,0.4,0.1516,0.2535,0.35,0,0
FRDC-S-C-1A,18,0.7336,0.6927,0.6667,0.1749,0.2169,0.25,0.266666667,0.05784
FRDC-S-C-1A,19,0.7629,0.8784,1,0.4083,0.2788,0.1765,0.28,0.078064
FRDC-S-C-1A,20,0.746,0.6774,0.6,0.4142,0.4668,0.5,0.434285714,0.202724571
FRDC-S-C-1A,21,0.5209,0.5893,0.6667,0.101,0.153,0.2,0.133333333,0.0204
FRDC-S-C-1A,22,0.5239,0.6194,0.75,0.3737,0.2868,0.2222,0.2,0.05736
FRDC-S-C-1A,23,0.7993,0.901,1,0.4209,0.3211,0.25,0.14,0.044954
FRDC-S-C-1A,24,0.8225,0.7455,0.6667,0.0139,0.0358,0.0571,0.04,0.001432
FRDC-S-C-1A,25,0.3693,0.3217,0.2,0.3065,0.4148,0.5455,0.9,0.37332
FRDC-S-C-1A,26,0.5057,0.4491,0.4,0.2999,0.3958,0.5,0.533333333,0.211093333
FRDC-S-C-1A,27,0.7291,0.7037,0.6667,0.6809,0.6461,0.6,0.538333333,0.347817166
FRDC-S-C-1A,28,0.7724,0.8836,1,0.3211,0.2714,0.2222,0.266666667,0.072373333
FRDC-S-C-1A,29,0.9882,0.9947,1,0.1563,0.2051,0.28,0.088571429,0.018166
FRDC-S-C-1A,30,0.6857,0.502,0.3333,0.2751,0.2433,0.24,0.2,0.04866
FRDC-S-C-1A,31,0.5951,0.6224,0.6667,0.306,0.3609,0.4286,0.6,0.21654
FRDC-S-C-1A,32,0.5447,0.3925,0.25,0.1932,0.109,0.0385,0.133333333,0.014533333
FRDC-S-C-1A,33,0.4549,0.7246,1,0,0,0,0,0
FRDC-S-C-2A,1,0.565,0.5773,0.6,0.5374,0.6194,0.7143,0.532539683,0.318645119
FRDC-S-C-2A,2,0.3508,0.397,0.4,0.0917,0.1887,0.2857,0.166666667,0.048808333
FRDC-S-C-2A,3,0.4618,0.531,0.6,0.2899,0.3647,0.4615,0.251666667,0.112708917
FRDC-S-C-2A,4,0.2323,0.3907,0.5,0.0451,0.0973,0.15,0.6,0.1464
FRDC-S-C-2A,5,0.3416,0.374,0.4,0.3955,0.507,0.619,0.403333333,0.177668333
FRDC-S-C-2A,6,0.5003,0.5459,0.6,0.3315,0.3034,0.3,0.566666667,0.240635
FRDC-S-C-2A,7,0.2438,0.3952,0.5,0.0439,0.0658,0.087,0.1,0.02305
FRDC-S-C-2A,8,0.2369,0.3923,0.5,0.0503,0.2752,0.5,0.2,0.06675
FRDC-S-C-2A,9,0.2349,0.2414,0.2,0.0427,0.0796,0.1154,0.3,0.04815
FRDC-S-C-2A,10,0.3096,0.3871,0.5,0.2269,0.3351,0.4375,0.220238095,0.079527976
FRDC-S-C-2A,11,0.6295,0.6816,0.75,0.3143,0.408,0.5,0.155555556,0.084746667
FRDC-S-C-2A,12,0.2392,0.394,0.5,0.157,0.2768,0.4,0.2,0.06708
FRDC-S-C-2A,13,0.3123,0.68,1,0.4893,0.7321,1,0.5,0.353025
FRDC-S-C-2A,14,0.3765,0.6653,1,0.1698,0.2663,0.36,0.22,0.102476
FRDC-S-C-2A,15,0.6879,0.8348,1,0.4531,0.4824,0.5294,0.155555556,0.102448889
FRDC-S-C-2A,16,0.7705,0.585,0.4,0.0532,0.1064,0.1591,0.025,0.0086425
FRDC-S-C-2A,17,0.2572,0.2548,0.2,0,0,0,0,0
FRDC-S-C-2A,18,0.2671,0.3281,0.3333,0,0,0,0.2,0
FRDC-S-C-2A,19,0.4022,0.4483,0.5,0.1279,0.2008,0.2941,0,0
FRDC-S-C-2A,20,0,0,0,0.1576,0.2279,0.3,0.7,0.15953
FRDC-S-C-2A,21,0.0271,0.183,0.3333,0.0539,0.1077,0.16,0.4,0.04308
FRDC-S-C-2A,22,0,0,0,0.1061,0.1082,0.1111,0.7,0.07574
FRDC-S-C-2A,23,0.4938,0.7539,1,0.2506,0.2188,0.1875,0.8,0.17504
FRDC-S-C-2A,24,0,0,0,0.0194,0.0243,0.0286,0.1,0.00243
FRDC-S-C-2A,25,0.3693,0.3217,0.2,0.2133,0.2435,0.2727,0.6,0.1461
FRDC-S-C-2A,26,0.2265,0.2372,0.2,0.0383,0.0666,0.1,0.2,0.01332
FRDC-S-C-2A,27,0.3893,0.5192,0.6667,0.6277,0.7036,0.8,0.7,0.49252
FRDC-S-C-2A,28,0.2098,0.3768,0.5,0.0986,0.1033,0.1111,0.4,0.04132
FRDC-S-C-2A,29,0.2605,0.3237,0.3333,0.0645,0.1116,0.16,0.4,0.04464
