,,F-score,,,S-score,,,H-Score
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
hultech-S-E-3A,55,0.9538,0.873,0.8,0.8535,0.5915,0.3333,0
hultech-S-E-3A,56,0.4119,0.2524,0.2,0.1916,0.1688,0.15,0
hultech-S-E-3A,57,0.9703,0.6831,0.4,0.7358,0.5591,0.375,0.04
hultech-S-E-3A,58,1,0.7,0.4,0.8472,0.7424,0.6364,0.14
hultech-S-E-3A,59,0.7776,0.8054,0.8,0.6088,0.4799,0.3529,0.04
hultech-S-E-3A,60,0.9505,0.6737,0.4,0.9458,0.6741,0.4,0.22
hultech-S-E-3A,61,0.8477,0.6282,0.4,0.8238,0.6852,0.5455,0.2
hultech-S-E-3A,62,0.967,0.9825,1,0.9193,0.8919,0.8571,0
hultech-S-E-3A,63,0.8477,0.7927,0.75,0.8426,0.6694,0.5,0
hultech-S-E-3A,64,0.9352,0.7611,0.6,0.7703,0.7767,0.7778,0.02
hultech-S-E-3A,65,1,0.6,0.2,0.9335,0.5665,0.2,0.08
hultech-S-E-3A,66,0.6607,0.5011,0.4,0.6717,0.518,0.3684,0.1
hultech-S-E-3A,67,0,0,0,0,0,0,0.9
hultech-S-E-3A,68,1,0.8334,0.6667,0.955,0.8346,0.7143,0.08
hultech-S-E-3A,69,0.4383,0.5071,0.5,0.4959,0.4376,0.3636,0.32
hultech-S-E-3A,70,0,0,0,0.6631,0.8434,1,0.62
hultech-S-E-3A,71,0.8083,0.7373,0.6667,0.8623,0.658,0.4545,0.12
hultech-S-E-3A,72,0.2063,0.2645,0.3333,0.7356,0.6552,0.5556,0.14
hultech-S-E-3A,73,0.727,0.5327,0.4,0.756,0.6121,0.4667,0.12
hultech-S-E-3A,74,0,0,0,0.8417,0.5433,0.25,0.98
hultech-S-E-3A,75,0.9862,0.6963,0.4,0.932,0.6571,0.3846,0.12
hultech-S-E-3A,76,0.6245,0.4438,0.3333,0.38,0.3518,0.3333,0.3
hultech-S-E-3A,77,0.8181,0.8008,0.8,0.4822,0.4406,0.4,0.06
hultech-S-E-3A,78,0.7197,0.7251,0.6667,0.8874,0.8717,0.8571,0.1
hultech-S-E-3A,79,0.762,0.877,1,0.5165,0.4855,0.4667,0.1
hultech-S-E-3A,80,0.8943,0.9418,1,0.7556,0.7216,0.6923,0.12
hultech-S-E-3A,81,0.713,0.5385,0.4,0.5296,0.4581,0.375,0.12
hultech-S-E-3A,82,0.9963,0.997,1,0.668,0.6776,0.6923,0.28
hultech-S-E-3A,83,0.535,0.5459,0.6,0.6973,0.7025,0.7059,0.16
hultech-S-E-4A,51,0.5615,0.5266,0.5,0.1622,0.1236,0.0952,0
hultech-S-E-4A,52,0.9808,0.8235,0.6667,0.1353,0.2484,0.3571,0.1
hultech-S-E-4A,53,0.9025,0.9607,1,0.3415,0.4678,0.6,0.433333333
hultech-S-E-4A,54,0.7007,0.6358,0.6,0.3476,0.399,0.4706,0
hultech-S-E-4A,55,0.6485,0.6197,0.6,0.3943,0.3219,0.2778,0
hultech-S-E-4A,56,0.512,0.403,0.4,0.1637,0.1799,0.2,0.066666667
hultech-S-E-4A,57,0.8426,0.7171,0.6,0.3674,0.3952,0.4375,0.366666667
hultech-S-E-4A,58,1,0.7,0.4,0.4659,0.5406,0.6364,0.59
hultech-S-E-4A,59,0.7776,0.8054,0.8,0.3406,0.3378,0.3529,0.066666667
hultech-S-E-4A,60,0.7182,0.4613,0.2,0.378,0.3759,0.4,0.69
hultech-S-E-4A,61,0.6837,0.5465,0.4,0.3865,0.4552,0.5455,0.2
hultech-S-E-4A,62,0.8048,0.5624,0.3333,0.4707,0.6546,0.8571,0
hultech-S-E-4A,63,0.8477,0.7927,0.75,0.5268,0.5024,0.5,0
hultech-S-E-4A,64,0.8584,0.8208,0.8,0.4092,0.6416,0.8889,0
hultech-S-E-4A,65,0.8423,0.5176,0.2,0.461,0.3167,0.2,0.122222222
hultech-S-E-4A,66,0.6607,0.5011,0.4,0.329,0.2844,0.2632,0.28
hultech-S-E-4A,67,0,0,0,0,0,0,0.26
hultech-S-E-4A,68,0.9829,0.8241,0.6667,0.5087,0.5993,0.7143,0.52
hultech-S-E-4A,69,0.3064,0.4354,0.5,0.2609,0.3136,0.3636,0.3
hultech-S-E-4A,70,0,0,0,0.353,0.6798,1,0.786666667
hultech-S-E-4A,71,0.7919,0.7285,0.6667,0.4287,0.4295,0.4545,0.233333333
hultech-S-E-4A,72,0.2063,0.2645,0.3333,0.3339,0.4437,0.5556,0.22
hultech-S-E-4A,73,0.4647,0.3935,0.4,0.3898,0.418,0.4667,0.47
hultech-S-E-4A,74,0,0,0,0.3772,0.2986,0.25,1
