,,F-score,,,S-score,,,H-Score
runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
Sem13-S-E-1A,61,0.1736,0.2051,0.2,0.3562,0.3893,0.4545,0.133333333
Sem13-S-E-1A,62,0.3099,0.3039,0.3333,0.2572,0.5632,0.8571,0.06
Sem13-S-E-1A,63,0.3869,0.4346,0.5,0.3822,0.5005,0.6,0.15
Sem13-S-E-1A,64,0.2381,0.2398,0.2,0.3983,0.467,0.5556,0.073333333
Sem13-S-E-1A,65,0.1604,0.1969,0.2,0.3141,0.2839,0.2667,0
Sem13-S-E-1A,66,0.412,0.5231,0.6,0.178,0.252,0.3158,0
Sem13-S-E-1A,67,0,0,0,0,0,0,0.36
Sem13-S-E-1A,68,0.3512,0.3217,0.3333,0.3072,0.5179,0.7143,0.313333333
Sem13-S-E-1A,69,0,0,0,0.1698,0.2223,0.2727,0.1
Sem13-S-E-1A,70,0.3856,0.2909,0.25,0.2381,0.6249,1,0.073333333
Sem13-S-E-1A,71,0.1829,0.2356,0.3333,0.1954,0.3291,0.4545,0.2
Sem13-S-E-1A,72,0.1222,0.2246,0.3333,0.1406,0.3517,0.5556,0.122222222
Sem13-S-E-1A,73,0.1588,0.2678,0.4,0.1757,0.2586,0.3333,0.356666667
Sem13-S-E-1A,74,0.1812,0.1684,0.2,0.1271,0.1912,0.25,0.408888889
Sem13-S-E-1A,75,0.1634,0.1988,0.2,0.3375,0.3105,0.3077,0.38
Sem13-S-E-1A,76,0.0837,0.2103,0.3333,0.1028,0.2211,0.3333,0.108571429
Sem13-S-E-1A,77,0.3079,0.3334,0.4,0.2143,0.38,0.5333,0.288888889
Sem13-S-E-1A,78,0.3243,0.4793,0.6667,0.2193,0.5428,0.8571,0.138571429
Sem13-S-E-1A,79,0.2462,0.3944,0.5,0.3267,0.4524,0.6,0.14
Sem13-S-E-1A,80,0.2894,0.4175,0.5,0.3816,0.4494,0.5385,0.144444444
Sem13-S-E-1A,81,0.3164,0.4445,0.6,0.2856,0.369,0.4375,0.282222222
Sem13-S-E-1A,82,0,0,0,0.1903,0.2917,0.3846,0.38
Sem13-S-E-1A,83,0.1684,0.2722,0.4,0.4605,0.6364,0.8235,0.32
Sem13-S-E-2A,51,0.3892,0.4297,0.5,0.1903,0.1706,0.1429,0.24
Sem13-S-E-2A,52,0.4084,0.7214,1,0.3264,0.3721,0.4286,0.14
Sem13-S-E-2A,53,0.1162,0.1944,0.25,0.2818,0.3284,0.4,0.02
Sem13-S-E-2A,54,0.2598,0.3068,0.4,0.1754,0.2681,0.3529,0
Sem13-S-E-2A,55,0.316,0.3376,0.4,0.2875,0.3725,0.4444,0.022222222
Sem13-S-E-2A,56,0.2276,0.312,0.4,0.1227,0.1899,0.25,0.126666667
Sem13-S-E-2A,57,0.1404,0.1741,0.2,0.2145,0.3637,0.5,0.166666667
Sem13-S-E-2A,58,0.3955,0.3804,0.4,0.3644,0.5554,0.7273,0.24
Sem13-S-E-2A,59,0,0,0,0.2445,0.4237,0.5882,0.16
Sem13-S-E-2A,60,0,0,0,0.2141,0.5127,0.8,0.22
Sem13-S-E-2A,61,0.2387,0.2378,0.2,0.3675,0.3972,0.4545,0.16
Sem13-S-E-2A,62,0.3045,0.301,0.3333,0.2593,0.5643,0.8571,0.06
Sem13-S-E-2A,63,0.3742,0.4405,0.5,0.5241,0.5527,0.6,0.02
Sem13-S-E-2A,64,0.3679,0.368,0.4,0.4377,0.6717,0.8889,0
Sem13-S-E-2A,65,0.3207,0.2609,0.2,0.2497,0.2652,0.2667,0.1
Sem13-S-E-2A,66,0.6381,0.6142,0.6,0.2202,0.3001,0.3684,0
Sem13-S-E-2A,67,0,0,0,0,0,0,0.353333333
Sem13-S-E-2A,68,0.4078,0.5381,0.6667,0.4368,0.5637,0.7143,0.173333333
Sem13-S-E-2A,69,0,0,0,0.1387,0.1626,0.1818,0.12
Sem13-S-E-2A,70,0.4255,0.3025,0.25,0.2069,0.6076,1,0.1
Sem13-S-E-2A,71,0.1829,0.2356,0.3333,0.2031,0.2876,0.3636,0.293333333
Sem13-S-E-2A,72,0.2099,0.2459,0.3333,0.0318,0.1278,0.2222,0.176666667
Sem13-S-E-2A,73,0.1588,0.2933,0.4,0.2875,0.3378,0.4,0.27
Sem13-S-E-2A,74,0.1812,0.1684,0.2,0.1084,0.1815,0.25,0.344444444
Sem13-S-E-2A,75,0.2279,0.1974,0.2,0.2006,0.2583,0.3077,0.375
Sem13-S-E-2A,76,0.1523,0.4143,0.6667,0.1027,0.221,0.3333,0.324444444
Sem13-S-E-2A,77,0.2001,0.2976,0.4,0.2034,0.4416,0.6667,0.26
Sem13-S-E-2A,78,0.256,0.2757,0.3333,0.2088,0.5373,0.8571,0.13
Sem13-S-E-2A,79,0.3298,0.4144,0.5,0.2908,0.3669,0.4667,0.13
Sem13-S-E-2A,80,0.165,0.313,0.5,0.1924,0.3696,0.5385,0.491428571
Sem13-S-E-2A,81,0.1667,0.1991,0.2,0.1965,0.2814,0.375,0.24
Sem13-S-E-2A,82,0,0,0,0.1651,0.2707,0.3846,0.328888889
Sem13-S-E-2A,83,0.1225,0.1734,0.2,0.3145,0.4442,0.5882,0.3
Sem13-S-E-3A,51,0.1471,0.3388,0.5,0.0574,0.0513,0.0476,0
Sem13-S-E-3A,52,0.5153,0.5595,0.6667,0.2772,0.3245,0.3571,0
Sem13-S-E-3A,53,0.1852,0.4691,0.75,0.2477,0.4306,0.6,0.02
Sem13-S-E-3A,54,0.2491,0.3013,0.4,0.1634,0.2324,0.2941,0.025
Sem13-S-E-3A,55,0.1924,0.1827,0.2,0.1696,0.2551,0.3333,0.086666667
Sem13-S-E-3A,56,0.2243,0.3082,0.4,0.1443,0.1762,0.2,0.103333333
Sem13-S-E-3A,57,0.1352,0.268,0.4,0.2397,0.3768,0.5,0.146666667
Sem13-S-E-3A,58,0.283,0.3599,0.4,0.3896,0.4118,0.4545,0.153333333
Sem13-S-E-3A,59,0,0,0,0.2567,0.4191,0.5882,0.33
Sem13-S-E-3A,60,0,0,0,0.133,0.3699,0.6,0.2
Sem13-S-E-3A,61,0.2604,0.2095,0.2,0.2973,0.4737,0.6364,0.133333333
Sem13-S-E-3A,62,0.3367,0.3211,0.3333,0.2772,0.5744,0.8571,0.025
Sem13-S-E-3A,63,0.2713,0.3859,0.5,0.3531,0.3638,0.4,0.34
Sem13-S-E-3A,64,0.1664,0.2008,0.2,0.346,0.4394,0.5556,0.022222222
Sem13-S-E-3A,65,0.1604,0.1969,0.2,0.3141,0.2839,0.2667,0
Sem13-S-E-3A,66,0.4672,0.5091,0.6,0.2319,0.3058,0.3684,0
Sem13-S-E-3A,67,0,0,0,0,0,0,0.374444444
Sem13-S-E-3A,68,0.2289,0.3011,0.3333,0.4782,0.6577,0.8571,0.12
Sem13-S-E-3A,69,0,0,0,0.1698,0.2223,0.2727,0.17
Sem13-S-E-3A,70,0.2471,0.2744,0.25,0.1137,0.22,0.3333,0.06
Sem13-S-E-3A,71,0.1829,0.2356,0.3333,0.1954,0.3291,0.4545,0.22
Sem13-S-E-3A,72,0.1222,0.2246,0.3333,0.1406,0.3517,0.5556,0.162222222
Sem13-S-E-3A,73,0.062,0.1323,0.2,0.1904,0.3342,0.4667,0.415
Sem13-S-E-3A,74,0.1812,0.1684,0.2,0.1271,0.1912,0.25,0.446666667
Sem13-S-E-3A,75,0.2279,0.1974,0.2,0.2001,0.2581,0.3077,0.34
Sem13-S-E-3A,76,0.1881,0.2385,0.3333,0.0795,0.2082,0.3333,0.26
Sem13-S-E-3A,77,0.2493,0.2492,0.2,0.2488,0.281,0.3333,0.3
Sem13-S-E-3A,78,0.2418,0.2683,0.3333,0.1614,0.4419,0.7143,0.225
Sem13-S-E-3A,79,0.3035,0.39,0.5,0.2815,0.4476,0.6,0.166666667
Sem13-S-E-3A,80,0.2243,0.3453,0.5,0.2327,0.391,0.5385,0.240952381
Sem13-S-E-3A,81,0.1667,0.1991,0.2,0.2728,0.31,0.375,0.341111111
Sem13-S-E-3A,82,0,0,0,0.1682,0.281,0.3846,0.337142857
Sem13-S-E-3A,83,0.1225,0.1463,0.2,0.3309,0.5857,0.8235,0.374285714
Sem13-S-E-4A,51,0.3283,0.4289,0.5,0.2391,0.2076,0.1905,0.022222222
Sem13-S-E-4A,52,0.1936,0.4395,0.6667,0.169,0.2575,0.3571,0
Sem13-S-E-4A,53,0.055,0.151,0.25,0.1049,0.2551,0.4,0.02
Sem13-S-E-4A,54,0.0766,0.1363,0.2,0.1377,0.249,0.3529,0.02
Sem13-S-E-4A,55,0.1268,0.1477,0.2,0.1137,0.1981,0.2778,0.05
Sem13-S-E-4A,56,0.2023,0.2987,0.4,0.0962,0.1758,0.25,0.115
Sem13-S-E-4A,57,0.1264,0.1669,0.2,0.1933,0.3527,0.5,0.1
Sem13-S-E-4A,58,0.0509,0.1265,0.2,0.1359,0.3448,0.5455,0.2
Sem13-S-E-4A,59,0,0,0,0.184,0.273,0.3529,0.292380952
Sem13-S-E-4A,60,0,0,0,0.1526,0.4802,0.8,0.2
Sem13-S-E-4A,61,0.1592,0.1608,0.2,0.1752,0.3182,0.4545,0.168571429
Sem13-S-E-4A,62,0.1434,0.2381,0.3333,0.2572,0.4932,0.7143,0.04
Sem13-S-E-4A,63,0.2009,0.3627,0.5,0.3404,0.3586,0.4,0.22
Sem13-S-E-4A,64,0.0763,0.1398,0.2,0.1146,0.3939,0.6667,0
Sem13-S-E-4A,65,0.1771,0.1848,0.2,0.1191,0.2628,0.4,0.04
Sem13-S-E-4A,66,0.2609,0.3086,0.4,0.1385,0.2568,0.3684,0.08
Sem13-S-E-4A,67,0,0,0,0,0,0,0.36
Sem13-S-E-4A,68,0.2321,0.4597,0.6667,0.143,0.2895,0.4286,0.28
Sem13-S-E-4A,69,0.0656,0.2842,0.5,0.13,0.2504,0.3636,0.14
Sem13-S-E-4A,70,0.1161,0.188,0.25,0.2226,0.6177,1,0.12
Sem13-S-E-4A,71,0.1437,0.4037,0.6667,0.2307,0.3488,0.4545,0.1
Sem13-S-E-4A,72,0.0969,0.2166,0.3333,0.1118,0.2812,0.4444,0.286666667
Sem13-S-E-4A,73,0.0572,0.1298,0.2,0.1223,0.2649,0.4,0.42
Sem13-S-E-4A,74,0.1143,0.1542,0.2,0.1079,0.1819,0.25,0.42
Sem13-S-E-4A,75,0.0773,0.1371,0.2,0.1321,0.2233,0.3077,0.2
Sem13-S-E-4A,76,0.1881,0.2806,0.3333,0.1183,0.2253,0.3333,0.184444444
Sem13-S-E-4A,77,0.0916,0.1472,0.2,0.0872,0.2798,0.4667,0.366666667
Sem13-S-E-4A,78,0.193,0.2622,0.3333,0.1686,0.5175,0.8571,0.12
Sem13-S-E-4A,79,0.1161,0.3203,0.5,0,0,0,0
Sem13-S-E-4A,80,0.1579,0.5792,1,0.1578,0.4295,0.6923,0.24
Sem13-S-E-4A,81,0.2627,0.2304,0.2,0.1903,0.4132,0.625,0.26
Sem13-S-E-4A,82,0,0,0,0.1187,0.4089,0.6923,0.35
Sem13-S-E-4A,83,0.0459,0.1237,0.2,0.1906,0.4205,0.6471,0.1
Sem13-S-E-5A,51,0.3142,0.4068,0.5,0.2289,0.1781,0.1429,0
Sem13-S-E-5A,52,0.4135,0.5068,0.6667,0.1496,0.3285,0.5,0.04
Sem13-S-E-5A,53,0.1232,0.3143,0.5,0.1578,0.3833,0.6,0
Sem13-S-E-5A,54,0.1063,0.1558,0.2,0.1834,0.3325,0.4706,0.02
Sem13-S-E-5A,55,0.2834,0.3297,0.4,0.2684,0.3352,0.3889,0.028571429
Sem13-S-E-5A,56,0.2023,0.2987,0.4,0.0956,0.1755,0.25,0.08
Sem13-S-E-5A,57,0.066,0.1315,0.2,0.1307,0.2253,0.3125,0.122222222
Sem13-S-E-5A,58,0.0988,0.2526,0.4,0.1591,0.3571,0.5455,0.19
Sem13-S-E-5A,59,0,0,0,0.1472,0.1567,0.1765,0.16
Sem13-S-E-5A,60,0,0,0,0.1934,0.5009,0.8,0.18
Sem13-S-E-5A,61,0.2687,0.3361,0.4,0.2895,0.4253,0.5455,0.148571429
Sem13-S-E-5A,62,0.1935,0.247,0.3333,0.2992,0.5142,0.7143,0.102222222
Sem13-S-E-5A,63,0.1729,0.352,0.5,0.3993,0.4381,0.5,0.02
Sem13-S-E-5A,64,0.2217,0.2144,0.2,0.2026,0.6069,1,0.028571429
Sem13-S-E-5A,65,0.1843,0.1945,0.2,0.2499,0.332,0.4,0.12
Sem13-S-E-5A,66,0.1608,0.2779,0.4,0.099,0.2364,0.3684,0
Sem13-S-E-5A,67,0,0,0,0,0,0,0.4
Sem13-S-E-5A,68,0.2269,0.4272,0.6667,0.3075,0.5895,0.8571,0.24
Sem13-S-E-5A,69,0.0656,0.2842,0.5,0.1298,0.2503,0.3636,0.16
Sem13-S-E-5A,70,0,0,0,0.1221,0.5636,1,0.08
Sem13-S-E-5A,71,0.0686,0.2019,0.3333,0.0868,0.1822,0.2727,0.075
Sem13-S-E-5A,72,0.1222,0.2246,0.3333,0.1242,0.2875,0.4444,0.333333333
Sem13-S-E-5A,73,0.0572,0.1298,0.2,0.1087,0.2576,0.4,0.304444444
Sem13-S-E-5A,74,0.2188,0.2107,0.2,0.1828,0.2213,0.25,0.568333333
Sem13-S-E-5A,75,0.0773,0.1371,0.2,0.1348,0.2631,0.3846,0.205
Sem13-S-E-5A,76,0.1881,0.2806,0.3333,0.115,0.2238,0.3333,0.145
Sem13-S-E-5A,77,0.1221,0.1461,0.2,0.0714,0.2042,0.3333,0.277777778
Sem13-S-E-5A,78,0.1308,0.4022,0.6667,0.1027,0.34,0.5714,0.22
Sem13-S-E-5A,79,0.1827,0.3424,0.5,0.166,0.3542,0.5333,0.22
Sem13-S-E-5A,80,0.1572,0.5776,1,0.1909,0.4852,0.7692,0.12
Sem13-S-E-5A,81,0.1667,0.1991,0.2,0.2177,0.359,0.5,0.2
Sem13-S-E-5A,82,0,0,0,0.0761,0.3095,0.5385,0.325
Sem13-S-E-5A,83,0.0459,0.1237,0.2,0.194,0.422,0.6471,0.1
THUSAM-S-E-1A,51,0.571,0.7687,1,0.5886,0.5057,0.4286,0.955
THUSAM-S-E-1A,52,0.482,0.7462,1,0.2723,0.3577,0.4286,0.94
THUSAM-S-E-1A,53,0.4349,0.7206,1,0.8635,0.7286,0.6,1
THUSAM-S-E-1A,54,0.3083,0.3502,0.4,0.2759,0.3508,0.4118,0.935555556
THUSAM-S-E-1A,55,0.3858,0.4931,0.6,0.7536,0.6219,0.5,0.96
THUSAM-S-E-1A,56,0.2636,0.3392,0.4,0.1326,0.0949,0.05,0.74
THUSAM-S-E-1A,57,0.4414,0.3173,0.2,0.4817,0.5505,0.625,0.893333333
THUSAM-S-E-1A,58,0.3968,0.4895,0.6,0.713,0.5802,0.4545,0.782857143
THUSAM-S-E-1A,59,0.2949,0.3249,0.4,0.5399,0.5562,0.5882,0.946666667
THUSAM-S-E-1A,60,0.286,0.5474,0.8,0,0,0,0
THUSAM-S-E-1A,61,0.4859,0.4479,0.4,0.702,0.5721,0.4545,0.666666667
THUSAM-S-E-1A,62,0.5351,0.4504,0.3333,0.7802,0.6018,0.4286,0.977777778
THUSAM-S-E-1A,63,0.4214,0.58,0.75,0.9371,0.6198,0.3,0.84
THUSAM-S-E-1A,64,0.474,0.6529,0.8,0.8603,0.7043,0.5556,0.915
THUSAM-S-E-1A,65,0.7612,0.4755,0.2,0.8039,0.5632,0.3333,0.935
THUSAM-S-E-1A,66,0.3716,0.5821,0.8,0.6162,0.4988,0.3684,0.96
THUSAM-S-E-1A,67,0.61,0.4701,0.3333,0,0,0,0.6
THUSAM-S-E-1A,68,0.4114,0.5467,0.6667,0.9365,0.8957,0.8571,0.98
THUSAM-S-E-1A,69,0.4271,0.7113,1,0.0784,0.127,0.1818,0.432698413
THUSAM-S-E-1A,70,0.6086,0.5625,0.5,0.3315,0.6503,1,0.633333333
THUSAM-S-E-1A,71,0.3296,0.6628,1,0.4921,0.5169,0.5455,0.537142857
THUSAM-S-E-1A,72,0.3644,0.5037,0.6667,0.4137,0.5468,0.6667,0.740555556
THUSAM-S-E-1A,73,0.3282,0.366,0.4,0.6472,0.628,0.6,1
THUSAM-S-E-1A,74,0.4066,0.3241,0.2,0.375,0.2977,0.25,0.644444444
THUSAM-S-E-1A,75,0.401,0.3919,0.4,0.5696,0.4396,0.3077,0.96
THUSAM-S-E-1A,76,0.5112,0.5732,0.6667,0,0,0,0.125
THUSAM-S-E-1A,77,0.5452,0.3562,0.2,0.3679,0.4234,0.4667,0.824444444
THUSAM-S-E-1A,78,0.5514,0.446,0.3333,0.7254,0.7148,0.7143,0.977777778
THUSAM-S-E-1A,79,0.3431,0.6707,1,0.654,0.5543,0.4667,0.98
THUSAM-S-E-1A,80,0.4202,0.7191,1,0.7782,0.6615,0.5385,0.915555556
THUSAM-S-E-1A,81,0.5947,0.5874,0.6,0.6908,0.6238,0.5625,0.98
THUSAM-S-E-1A,82,0.6866,0.831,1,0.3148,0.4625,0.6154,0.915555556
THUSAM-S-E-1A,83,0.2498,0.5199,0.8,0.6617,0.5066,0.3529,0.92
THUSAM-S-E-2A,51,0.2816,0.6411,1,0.3612,0.4097,0.4762,0.16
THUSAM-S-E-2A,52,0.3956,0.5343,0.6667,0.4986,0.505,0.5,0.47
THUSAM-S-E-2A,53,0.1862,0.4607,0.75,0.6296,0.6093,0.6,0.34
THUSAM-S-E-2A,54,0.2945,0.5449,0.8,0.6553,0.6226,0.5882,0.18
THUSAM-S-E-2A,55,0.2824,0.4365,0.6,0.3709,0.3671,0.3889,0.133333333
THUSAM-S-E-2A,56,0.1844,0.2827,0.4,0.3037,0.2432,0.2,0.24
THUSAM-S-E-2A,57,0.3025,0.3505,0.4,0.301,0.4244,0.5625,0.12
THUSAM-S-E-2A,58,0.2055,0.1944,0.2,0.4066,0.3286,0.2727,0.06
THUSAM-S-E-2A,59,0.2717,0.221,0.2,0.4493,0.6057,0.7647,0.08
THUSAM-S-E-2A,60,0.2876,0.4446,0.6,0.0609,0.1325,0.2,0.2
THUSAM-S-E-2A,61,0.2124,0.509,0.8,0.6226,0.6232,0.6364,0.32
THUSAM-S-E-2A,62,0.2835,0.6424,1,0.7379,0.7926,0.8571,0.12
THUSAM-S-E-2A,63,0.2557,0.503,0.75,0.6437,0.5635,0.5,0.068571429
THUSAM-S-E-2A,64,0.2824,0.3418,0.4,0.751,0.7642,0.7778,0.24
THUSAM-S-E-2A,65,0.1467,0.3793,0.6,0.2917,0.4478,0.6,0.14
THUSAM-S-E-2A,66,0.3859,0.4911,0.6,0.6488,0.5033,0.3684,0.201904762
THUSAM-S-E-2A,67,0.61,0.4701,0.3333,0,0,0,0.6
THUSAM-S-E-2A,68,0.2048,0.4274,0.6667,0.5058,0.6704,0.8571,0.1
THUSAM-S-E-2A,69,0.4271,0.7113,1,0.0784,0.127,0.1818,0.432698413
THUSAM-S-E-2A,70,0.6086,0.5625,0.5,0.3315,0.6503,1,0.633333333
THUSAM-S-E-2A,71,0.2733,0.4685,0.6667,0.6047,0.7081,0.8182,0.06
THUSAM-S-E-2A,72,0.2514,0.4556,0.6667,0.7368,0.8097,0.8889,0.137142857
THUSAM-S-E-2A,73,0.1712,0.18,0.2,0.4903,0.5065,0.5333,0.186666667
THUSAM-S-E-2A,74,0.4066,0.3241,0.2,0.375,0.2977,0.25,0.644444444
THUSAM-S-E-2A,75,0.1437,0.3625,0.6,0.489,0.6346,0.7692,0.4
THUSAM-S-E-2A,76,0.5112,0.5732,0.6667,0,0,0,0.125
THUSAM-S-E-2A,77,0.1888,0.1832,0.2,0.0897,0.1765,0.2667,0.14
THUSAM-S-E-2A,78,0.4919,0.5842,0.6667,0.6334,0.7365,0.8571,0.36
THUSAM-S-E-2A,79,0.2758,0.3882,0.5,0.5522,0.3804,0.2,0.406666667
THUSAM-S-E-2A,80,0.3492,0.6739,1,0.3915,0.4586,0.5385,0.5
THUSAM-S-E-2A,81,0.0354,0.1181,0.2,0.2141,0.3191,0.4375,0.1
THUSAM-S-E-2A,82,0.5848,0.8141,1,0.5874,0.5958,0.6154,0.08
THUSAM-S-E-2A,83,0.0153,0.1079,0.2,0.4577,0.6028,0.7647,0.713333333
TUTA1-S-E-1A,51,0.1471,0.3388,0.5,0.2106,0.1421,0.0952,0
TUTA1-S-E-1A,52,0.38,0.3599,0.3333,0.1619,0.2614,0.3571,0.1
TUTA1-S-E-1A,53,0.0484,0.1539,0.25,0.3777,0.4758,0.6,0
TUTA1-S-E-1A,54,0.1957,0.217,0.2,0.2939,0.381,0.4706,0
TUTA1-S-E-1A,55,0.2548,0.2518,0.2,0.3479,0.3252,0.3333,0
TUTA1-S-E-1A,56,0,0,0,0.1867,0.1358,0.1,0
TUTA1-S-E-1A,57,0.1307,0.1641,0.2,0.3676,0.4282,0.5,0
TUTA1-S-E-1A,58,0.4452,0.5423,0.6,0.3847,0.4546,0.5455,0.21875
TUTA1-S-E-1A,59,0.369,0.3856,0.4,0.2751,0.3122,0.3529,0.321428571
TUTA1-S-E-1A,60,0,0,0,0,0,0,0
TUTA1-S-E-1A,61,0.4991,0.5345,0.6,0.4603,0.4905,0.5455,0.333333333
TUTA1-S-E-1A,62,0.5471,0.5995,0.6667,0.4078,0.6201,0.8571,0
TUTA1-S-E-1A,63,0.3752,0.3359,0.25,0.5082,0.4933,0.5,0.071428571
TUTA1-S-E-1A,64,0.2136,0.2293,0.2,0.4321,0.7063,1,0
TUTA1-S-E-1A,65,0.2808,0.2696,0.2,0.401,0.286,0.2,0.083333333
TUTA1-S-E-1A,66,0.0842,0.1502,0.2,0.3268,0.3074,0.3158,0
TUTA1-S-E-1A,67,0,0,0,0,0,0,0
TUTA1-S-E-1A,68,0.0661,0.2065,0.3333,0.4492,0.4978,0.5714,0.133333333
TUTA1-S-E-1A,69,0.2991,0.6539,1,0.2294,0.2979,0.3636,0.458333333
TUTA1-S-E-1A,70,0.1518,0.1998,0.25,0.1396,0.3934,0.6667,0
TUTA1-S-E-1A,71,0.1397,0.4028,0.6667,0.4599,0.4461,0.4545,0
TUTA1-S-E-1A,72,0.327,0.3624,0.3333,0.3612,0.4485,0.5556,0.45
TUTA1-S-E-1A,73,0.3121,0.3524,0.4,0.4368,0.4415,0.4667,0.767857143
TUTA1-S-E-1A,74,0.0755,0.1452,0.2,0.1,0.1146,0.125,0.777777778
TUTA1-S-E-1A,75,0.2662,0.261,0.2,0.5155,0.4377,0.3846,0.052631579
TUTA1-S-E-1A,76,0.0724,0.1943,0.3333,0.1601,0.248,0.3333,0.333333333
TUTA1-S-E-1A,77,0.3206,0.221,0.2,0.1593,0.3462,0.5333,0.076923077
TUTA1-S-E-1A,78,0.2127,0.4392,0.6667,0.4398,0.6381,0.8571,0.628571429
TUTA1-S-E-1A,79,0.3011,0.4323,0.5,0.3348,0.389,0.4667,0.076923077
TUTA1-S-E-1A,80,0.0664,0.2902,0.5,0.349,0.5195,0.6923,0.029411765
TUTA1-S-E-1A,81,0.0533,0.1317,0.2,0.3629,0.3608,0.375,0.055555556
TUTA1-S-E-1A,82,0.0662,0.2899,0.5,0.1168,0.13,0.1538,0.875
TUTA1-S-E-1A,83,0.0766,0.1459,0.2,0.3284,0.5073,0.7059,0.533333333
udel-S-E-1A,51,0.1885,0.5942,1,0.7246,0.5226,0.3333,0.44
udel-S-E-1A,52,0.0732,0.1978,0.3333,0.6066,0.6923,0.7857,0.54
udel-S-E-1A,53,0.1605,0.3304,0.5,0.8097,0.7503,0.7,0.44
udel-S-E-1A,54,0.1113,0.1608,0.2,0.657,0.5908,0.5294,0.44
udel-S-E-1A,55,0.1864,0.392,0.6,0.5498,0.5031,0.4444,0.353333333
udel-S-E-1A,56,0.0786,0.1447,0.2,0.3088,0.5363,0.75,0.345714286
udel-S-E-1A,57,0.1863,0.1927,0.2,0.6041,0.5809,0.5625,0.428888889
udel-S-E-1A,58,0.1853,0.2928,0.4,0.7644,0.8815,1,0.2
udel-S-E-1A,59,0,0,0,0.5424,0.5565,0.5882,0.239047619
udel-S-E-1A,60,0,0,0,0.0683,0.236,0.4,0.24
udel-S-E-1A,61,0.1434,0.2788,0.4,0.8313,0.8205,0.8182,0.108571429
udel-S-E-1A,62,0.1785,0.2555,0.3333,0.8422,0.7057,0.5714,0.28
udel-S-E-1A,63,0.1748,0.3375,0.5,0.7952,0.7443,0.7,0.465
udel-S-E-1A,64,0.1976,0.199,0.2,0.7427,0.704,0.6667,0.097777778
udel-S-E-1A,65,0.1602,0.3789,0.6,0.7879,0.7293,0.6667,0.38
udel-S-E-1A,66,0.0324,0.1167,0.2,0.4067,0.3679,0.3158,0.46
udel-S-E-1A,67,0,0,0,0,0,0,0.3
udel-S-E-1A,68,0.164,0.4148,0.6667,0.9115,0.8116,0.7143,0.4
udel-S-E-1A,69,0,0,0,0,0,0,0.58
udel-S-E-1A,70,0,0,0,0,0,0,0.24
udel-S-E-1A,71,0.0321,0.1818,0.3333,0.0382,0.1109,0.1818,0.24
udel-S-E-1A,72,0,0,0,0,0,0,0.44
udel-S-E-1A,73,0,0,0,0.0103,0.0387,0.0667,0.72
udel-S-E-1A,74,0,0,0,0,0,0,0.457142857
udel-S-E-1A,75,0.1761,0.3887,0.6,0.8009,0.7417,0.6923,0.494285714
udel-S-E-1A,76,0,0,0,0,0,0,0.274285714
udel-S-E-1A,77,0,0,0,0,0,0,0.445714286
udel-S-E-1A,78,0,0,0,0,0,0,0.4
udel-S-E-1A,79,0.1899,0.5952,1,0.6668,0.5978,0.5333,0.542857143
udel-S-E-1A,80,0.055,0.2833,0.5,0.1497,0.1845,0.2308,0.46
udel-S-E-1A,81,0.1419,0.3638,0.6,0.4639,0.609,0.75,0.56
udel-S-E-1A,82,0,0,0,0,0,0,0
udel-S-E-1A,83,0,0,0,0.6413,0.5238,0.4118,0.08
UM13-S-E-1A,51,0.1033,0.5507,1,0.1371,0.1023,0.0952,0.133333333
UM13-S-E-1A,52,0,0,0,0,0,0,0
UM13-S-E-1A,53,0.0979,0.4246,0.75,0,0,0,0
UM13-S-E-1A,54,0,0,0,0,0,0,0
UM13-S-E-1A,55,0,0,0,0,0,0,0
UM13-S-E-1A,56,0.0745,0.1356,0.2,0,0,0,0.066666667
UM13-S-E-1A,57,0.0784,0.2408,0.4,0,0,0,0.385714286
UM13-S-E-1A,58,0.074,0.2372,0.4,0.0935,0.0931,0.0909,0
UM13-S-E-1A,59,0,0,0,0,0,0,0
UM13-S-E-1A,60,0.2236,0.2939,0.4,0,0,0,0.25
UM13-S-E-1A,61,0.0637,0.2324,0.4,0,0,0,0.05
UM13-S-E-1A,62,0,0,0,0,0,0,0.2
UM13-S-E-1A,63,0,0,0,0,0,0,0.1
UM13-S-E-1A,64,0,0,0,0,0,0,0
UM13-S-E-1A,65,0.0548,0.2263,0.4,0,0,0,0.15
UM13-S-E-1A,66,0.2691,0.2572,0.2,0,0,0,0
UM13-S-E-1A,67,0,0,0,0,0,0,0.2
UM13-S-E-1A,68,0.0809,0.3732,0.6667,0,0,0,0.2
UM13-S-E-1A,69,0,0,0,0,0,0,0
UM13-S-E-1A,70,0,0,0,0,0,0,0.1
UM13-S-E-1A,71,0,0,0,0,0,0,0.2
UM13-S-E-1A,72,0,0,0,0,0,0,0.4
UM13-S-E-1A,73,0,0,0,0,0,0,0.7
UM13-S-E-1A,74,0,0,0,0,0,0,0
UM13-S-E-1A,75,0,0,0,0,0,0,0.8
UM13-S-E-1A,76,0,0,0,0,0,0,0.5
UM13-S-E-1A,77,0,0,0,0,0,0,0.1
UM13-S-E-1A,78,0,0,0,0,0,0,0
UM13-S-E-1A,79,0,0,0,0,0,0,0.1
