runname,id,nDCG@0005,D#nDCG@0005,I-rec@0005,nDCG@0050,D#nDCG@0050,I-rec@0050,
KUIDL-S-J-1A,110,0.0575,0.122,0.2,0.2168,0.2248,0.2222,0.14
KUIDL-S-J-1A,111,0.0258,0.1391,0.25,0.032,0.0738,0.1111,0.443174603
KUIDL-S-J-1A,112,0.1368,0.3174,0.5,0.1863,0.2923,0.375,0.044444444
KUIDL-S-J-1A,113,0.0868,0.2125,0.3333,0.0633,0.205,0.3333,0.085714286
KUIDL-S-J-1A,114,0.0638,0.1297,0.2,0.1014,0.2729,0.4286,0.335714286
KUIDL-S-J-1A,115,0.1853,0.5939,1,0.4424,0.5562,0.6667,0.273065476
KUIDL-S-J-1A,116,0.0702,0.1426,0.2,0.1597,0.2138,0.2632,0.177777778
KUIDL-S-J-1A,117,0.1272,0.254,0.4,0.1674,0.3106,0.4545,0.142857143
KUIDL-S-J-1A,118,0.2405,0.431,0.6,0.2745,0.3003,0.3125,0.355714286
KUIDL-S-J-1A,119,0.2113,0.5036,0.8,0.4095,0.4659,0.52,0.287222222
KUIDL-S-J-1A,120,0.1361,0.3262,0.5,0.3118,0.3775,0.45,0.272222222
KUIDL-S-J-1A,121,0.1534,0.3147,0.5,0.4526,0.5204,0.5625,0.33
KUIDL-S-J-1A,122,0.1919,0.4839,0.8,0.4514,0.5219,0.5769,0.351746032
KUIDL-S-J-1A,123,0,0,0,0.1064,0.1237,0.1429,0.191666667
KUIDL-S-J-1A,124,0.1852,0.3906,0.6,0.2236,0.3691,0.5,0.439236111
KUIDL-S-J-1A,125,0.0863,0.2426,0.4,0.1509,0.2237,0.3043,0.193333333
KUIDL-S-J-1A,126,0.1226,0.3672,0.6,0.2327,0.2728,0.3,0.225714286
KUIDL-S-J-1A,127,0.1151,0.3035,0.5,0.1963,0.2589,0.3182,0.433333333
KUIDL-S-J-1A,128,0.1534,0.2769,0.4,0.3263,0.365,0.3889,0.38
KUIDL-S-J-1A,129,0.1196,0.1705,0.25,0.2159,0.2009,0.1667,0.325
KUIDL-S-J-1A,130,0.089,0.1592,0.25,0.1661,0.2787,0.375,0.1
KUIDL-S-J-1A,131,0.1094,0.2559,0.4,0.2718,0.3177,0.35,0.426666667
KUIDL-S-J-1A,132,0.1775,0.3876,0.6,0.2331,0.4109,0.5789,0.266883117
KUIDL-S-J-1A,133,0.196,0.3499,0.5,0.4781,0.3782,0.3077,0.355555556
KUIDL-S-J-1A,134,0,0,0,0,0,0,0
