		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
CNU-S-C-2A	26	0.7161	0.6461	0.6	CNU-S-C-2A	26	0.1437	0.2197	0.3	CNU-S-C-2A	26	0.583333333
CNU-S-C-2A	27	0.6919	0.6638	0.6667	CNU-S-C-2A	27	0.3787	0.3741	0.4	CNU-S-C-2A	27	1
CNU-S-C-2A	28	0.7246	0.6064	0.5	CNU-S-C-2A	28	0.3512	0.2328	0.1481	CNU-S-C-2A	28	0.916666667
CNU-S-C-2A	29	0	0	0	CNU-S-C-2A	29	0.0378	0.0402	0.04	CNU-S-C-2A	29	1
CNU-S-C-2A	30	0.657	0.4906	0.3333	CNU-S-C-2A	30	0.0919	0.1088	0.12	CNU-S-C-2A	30	0.3125
CNU-S-C-2A	31	0.7431	0.6945	0.6667	CNU-S-C-2A	31	0.1467	0.1822	0.2143	CNU-S-C-2A	31	0.888888889
CNU-S-C-2A	32	0.7688	0.6219	0.5	CNU-S-C-2A	32	0.2882	0.212	0.1538	CNU-S-C-2A	32	0.866666667
CNU-S-C-2A	33	0	0	0	CNU-S-C-2A	33	0	0	0	CNU-S-C-2A	33	0
CNU-S-C-3A	1	0.4709	0.3354	0.2	CNU-S-C-3A	1	0.2068	0.1958	0.2143	CNU-S-C-3A	1	0
CNU-S-C-3A	2	0.4135	0.3024	0.2	CNU-S-C-3A	2	0.2303	0.2822	0.3571	CNU-S-C-3A	2	0.625
CNU-S-C-3A	3	0.3462	0.3065	0.2	CNU-S-C-3A	3	0.2426	0.2225	0.2308	CNU-S-C-3A	3	0.4
CNU-S-C-3A	4	0.5311	0.756	1	CNU-S-C-3A	4	0.1362	0.0837	0.05	CNU-S-C-3A	4	1
CNU-S-C-3A	5	0.5959	0.4923	0.4	CNU-S-C-3A	5	0.2147	0.1855	0.1905	CNU-S-C-3A	5	0.916666667
CNU-S-C-3A	6	0.3133	0.2898	0.2	CNU-S-C-3A	6	0.2209	0.2254	0.25	CNU-S-C-3A	6	0.333333333
CNU-S-C-3A	7	0.566	0.7853	1	CNU-S-C-3A	7	0.0632	0.043	0.0435	CNU-S-C-3A	7	0
CNU-S-C-3A	8	0.5444	0.7702	1	CNU-S-C-3A	8	0.1421	0.5613	1	CNU-S-C-3A	8	0
CNU-S-C-3A	9	0.2391	0.1908	0.2	CNU-S-C-3A	9	0.0801	0.0699	0.0769	CNU-S-C-3A	9	0.5
CNU-S-C-3A	10	0.4603	0.3536	0.25	CNU-S-C-3A	10	0.1094	0.1032	0.125	CNU-S-C-3A	10	0.25
CNU-S-C-3A	11	0.6116	0.5372	0.5	CNU-S-C-3A	11	0.1457	0.1232	0.125	CNU-S-C-3A	11	0.5
CNU-S-C-3A	12	0.5917	0.793	1	CNU-S-C-3A	12	0.1003	0.0827	0.0667	CNU-S-C-3A	12	0.75
CNU-S-C-3A	13	0.5651	0.6535	0.75	CNU-S-C-3A	13	0.2181	0.4289	0.6667	CNU-S-C-3A	13	0.666666667
CNU-S-C-3A	14	0.5768	0.4097	0.25	CNU-S-C-3A	14	0.1918	0.1027	0.04	CNU-S-C-3A	14	1
CNU-S-C-3A	15	0.198	0.2857	0.3333	CNU-S-C-3A	15	0.2418	0.2233	0.2353	CNU-S-C-3A	15	0.4
CNU-S-C-3A	16	0.2828	0.2709	0.2	CNU-S-C-3A	16	0.0262	0.034	0.0455	CNU-S-C-3A	16	0.5
CNU-S-C-3A	17	0	0	0	CNU-S-C-3A	17	0	0	0	CNU-S-C-3A	17	0
CNU-S-C-3A	18	0.1247	0.2344	0.3333	CNU-S-C-3A	18	0.0311	0.0566	0.0833	CNU-S-C-3A	18	0
CNU-S-C-3A	19	0.5315	0.5135	0.5	CNU-S-C-3A	19	0.1453	0.1174	0.1176	CNU-S-C-3A	19	0.75
CNU-S-C-3A	20	0.2669	0.2615	0.2	CNU-S-C-3A	20	0.1687	0.1968	0.25	CNU-S-C-3A	20	0.166666667
CNU-S-C-3A	21	0.9288	0.8038	0.6667	CNU-S-C-3A	21	0.2418	0.2445	0.28	CNU-S-C-3A	21	0.133333333
CNU-S-C-3A	22	0.4123	0.3268	0.25	CNU-S-C-3A	22	0.1989	0.1426	0.1111	CNU-S-C-3A	22	0.833333333
CNU-S-C-3A	23	0.5079	0.4967	0.5	CNU-S-C-3A	23	0.1178	0.1164	0.125	CNU-S-C-3A	23	1
CNU-S-C-3A	24	0.735	0.5339	0.3333	CNU-S-C-3A	24	0.4485	0.5512	0.6571	CNU-S-C-3A	24	0.634509804
CNU-S-C-3A	25	0.3218	0.2933	0.2	CNU-S-C-3A	25	0.0506	0.0724	0.0909	CNU-S-C-3A	25	1
CNU-S-C-3A	26	0.214	0.2296	0.2	CNU-S-C-3A	26	0.14	0.1567	0.2	CNU-S-C-3A	26	0.4
CNU-S-C-3A	27	0.5096	0.5918	0.6667	CNU-S-C-3A	27	0.1818	0.2773	0.4	CNU-S-C-3A	27	1
CNU-S-C-3A	28	0.5544	0.525	0.5	CNU-S-C-3A	28	0.2098	0.1268	0.0741	CNU-S-C-3A	28	1
CNU-S-C-3A	29	0	0	0	CNU-S-C-3A	29	0.0378	0.0402	0.04	CNU-S-C-3A	29	1
CNU-S-C-3A	30	0.2628	0.3237	0.3333	CNU-S-C-3A	30	0	0.02	0.04	CNU-S-C-3A	30	0.4
CNU-S-C-3A	31	0.6958	0.6699	0.6667	CNU-S-C-3A	31	0.1682	0.1465	0.1429	CNU-S-C-3A	31	0
CNU-S-C-3A	32	0.5257	0.4991	0.5	CNU-S-C-3A	32	0.1562	0.1321	0.1154	CNU-S-C-3A	32	0.625
CNU-S-C-3A	33	0	0	0	CNU-S-C-3A	33	0	0	0	CNU-S-C-3A	33	0
CNU-S-C-4A	1	0.5054	0.4504	0.4	CNU-S-C-4A	1	0.1999	0.1942	0.2143	CNU-S-C-4A	1	0.833333333
CNU-S-C-4A	2	0.7175	0.6462	0.6	CNU-S-C-4A	2	0.3151	0.3214	0.3571	CNU-S-C-4A	2	0.8
CNU-S-C-4A	3	0.9818	0.6756	0.4	CNU-S-C-4A	3	0.3373	0.3446	0.3846	CNU-S-C-4A	3	0.133333333
CNU-S-C-4A	4	0	0.7615	0.5	CNU-S-C-4A	4	0.2488	0.1361	0.05	CNU-S-C-4A	4	0.9
CNU-S-C-4A	5	0.8517	0.6129	0.4	CNU-S-C-4A	5	0.2425	0.2345	0.2381	CNU-S-C-4A	5	0.52
CNU-S-C-4A	6	0.9237	0.7505	0.6	CNU-S-C-4A	6	0.2714	0.2979	0.35	CNU-S-C-4A	6	0.6
CNU-S-C-4A	7	0.566	0.7853	1	CNU-S-C-4A	7	0.0632	0.043	0.0435	CNU-S-C-4A	7	0
CNU-S-C-4A	8	0.2568	0.4043	0.5	CNU-S-C-4A	8	0.0729	0.2888	0.5	CNU-S-C-4A	8	0
CNU-S-C-4A	9	0.3207	0.3579	0.4	CNU-S-C-4A	9	0.058	0.0648	0.0769	CNU-S-C-4A	9	0
CNU-S-C-4A	10	0.3776	0.3358	0.25	CNU-S-C-4A	10	0.2001	0.2111	0.25	CNU-S-C-4A	10	0.2
