		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
KLE-S-C-3A	20	0.21	0.395	0.6	KLE-S-C-3A	20	0.6218	0.6901	0.75	KLE-S-C-3A	20	0.168571429
KLE-S-C-3A	21	0.2145	0.4544	0.6667	KLE-S-C-3A	21	0.5164	0.6098	0.68	KLE-S-C-3A	21	0.14
KLE-S-C-3A	22	0.3059	0.4068	0.5	KLE-S-C-3A	22	0.5691	0.7096	0.8333	KLE-S-C-3A	22	0.593333333
KLE-S-C-3A	23	0.4339	0.4929	0.5	KLE-S-C-3A	23	0.7119	0.791	0.875	KLE-S-C-3A	23	0.6
KLE-S-C-3A	24	0.4743	0.5694	0.6667	KLE-S-C-3A	24	0.3218	0.3952	0.4571	KLE-S-C-3A	24	0.726666667
KLE-S-C-3A	25	0.5604	0.5779	0.6	KLE-S-C-3A	25	0.6626	0.7328	0.8182	KLE-S-C-3A	25	0.511111111
KLE-S-C-3A	26	0.4558	0.531	0.6	KLE-S-C-3A	26	0.7419	0.769	0.8	KLE-S-C-3A	26	0.68
KLE-S-C-3A	27	0.458	0.5619	0.6667	KLE-S-C-3A	27	0.8696	0.8311	0.8	KLE-S-C-3A	27	0.915
KLE-S-C-3A	28	0.4194	0.7097	1	KLE-S-C-3A	28	0.595	0.7071	0.8148	KLE-S-C-3A	28	0.96
KLE-S-C-3A	29	0.5243	0.595	0.6667	KLE-S-C-3A	29	0.573	0.6089	0.64	KLE-S-C-3A	29	0.84
KLE-S-C-3A	30	0.5002	0.5844	0.6667	KLE-S-C-3A	30	0.7129	0.6567	0.6	KLE-S-C-3A	30	0.533333333
KLE-S-C-3A	31	0.4731	0.7389	1	KLE-S-C-3A	31	0.3026	0.4055	0.5	KLE-S-C-3A	31	0.383333333
KLE-S-C-3A	32	0.6653	0.7212	0.75	KLE-S-C-3A	32	0.6208	0.6496	0.6923	KLE-S-C-3A	32	0.757777778
KLE-S-C-3A	33	0.5807	0.7924	1	KLE-S-C-3A	33	0.8054	0.7172	0.625	KLE-S-C-3A	33	0.335
KLE-S-C-4A	1	0.1886	0.2962	0.4	KLE-S-C-4A	1	0.7745	0.8536	0.9286	KLE-S-C-4A	1	0.664444444
KLE-S-C-4A	2	0.3627	0.3605	0.4	KLE-S-C-4A	2	0.5039	0.5743	0.6429	KLE-S-C-4A	2	0.88
KLE-S-C-4A	3	0.3106	0.2417	0.2	KLE-S-C-4A	3	0.5678	0.5606	0.5385	KLE-S-C-4A	3	0.631428571
KLE-S-C-4A	4	0.4722	0.49	0.5	KLE-S-C-4A	4	0.385	0.5266	0.65	KLE-S-C-4A	4	0.348571429
KLE-S-C-4A	5	0.5617	0.4677	0.4	KLE-S-C-4A	5	0.6954	0.6305	0.5714	KLE-S-C-4A	5	0.5
KLE-S-C-4A	6	0.3813	0.5975	0.8	KLE-S-C-4A	6	0.6106	0.6018	0.6	KLE-S-C-4A	6	0.697777778
KLE-S-C-4A	7	0.4742	0.7342	1	KLE-S-C-4A	7	0.7753	0.7591	0.7391	KLE-S-C-4A	7	0.4
KLE-S-C-4A	8	0.3384	0.4176	0.5	KLE-S-C-4A	8	0.6624	0.5718	0.5	KLE-S-C-4A	8	0.086666667
KLE-S-C-4A	9	0.494	0.45	0.4	KLE-S-C-4A	9	0.4148	0.5369	0.6538	KLE-S-C-4A	9	0.514285714
KLE-S-C-4A	10	0.3174	0.426	0.5	KLE-S-C-4A	10	0.6245	0.5529	0.5	KLE-S-C-4A	10	0.08
KLE-S-C-4A	11	0.5018	0.4942	0.5	KLE-S-C-4A	11	0.5778	0.6699	0.75	KLE-S-C-4A	11	0.41
KLE-S-C-4A	12	0.4987	0.7492	1	KLE-S-C-4A	12	0.7819	0.8221	0.8667	KLE-S-C-4A	12	0.56
KLE-S-C-4A	13	0.3235	0.6756	1	KLE-S-C-4A	13	0.8972	0.9457	1	KLE-S-C-4A	13	0.513333333
KLE-S-C-4A	14	0.2096	0.2357	0.25	KLE-S-C-4A	14	0.5245	0.6259	0.72	KLE-S-C-4A	14	0.248888889
KLE-S-C-4A	15	0.4553	0.7259	1	KLE-S-C-4A	15	0.7661	0.7334	0.7059	KLE-S-C-4A	15	0.546666667
KLE-S-C-4A	16	0.6683	0.6158	0.6	KLE-S-C-4A	16	0.5241	0.5642	0.5909	KLE-S-C-4A	16	0.305714286
KLE-S-C-4A	17	0.5746	0.5857	0.6	KLE-S-C-4A	17	0.6542	0.7029	0.75	KLE-S-C-4A	17	0.84
KLE-S-C-4A	18	0.4377	0.5714	0.6667	KLE-S-C-4A	18	0.7254	0.734	0.75	KLE-S-C-4A	18	0.566666667
KLE-S-C-4A	19	0.4135	0.6727	1	KLE-S-C-4A	19	0.7534	0.7263	0.7059	KLE-S-C-4A	19	0.19
KLE-S-C-4A	20	0.21	0.395	0.6	KLE-S-C-4A	20	0.6218	0.6901	0.75	KLE-S-C-4A	20	0.16
KLE-S-C-4A	21	0.2145	0.4544	0.6667	KLE-S-C-4A	21	0.5164	0.6098	0.68	KLE-S-C-4A	21	0.14
KLE-S-C-4A	22	0.3059	0.4068	0.5	KLE-S-C-4A	22	0.5691	0.7096	0.8333	KLE-S-C-4A	22	0.593333333
KLE-S-C-4A	23	0.4339	0.4929	0.5	KLE-S-C-4A	23	0.7119	0.791	0.875	KLE-S-C-4A	23	0.6
KLE-S-C-4A	24	0.4743	0.5694	0.6667	KLE-S-C-4A	24	0.3218	0.3952	0.4571	KLE-S-C-4A	24	0.726666667
KLE-S-C-4A	25	0.5604	0.5779	0.6	KLE-S-C-4A	25	0.6626	0.7328	0.8182	KLE-S-C-4A	25	0.511111111
KLE-S-C-4A	26	0.4558	0.531	0.6	KLE-S-C-4A	26	0.7419	0.769	0.8	KLE-S-C-4A	26	0.68
KLE-S-C-4A	27	0.458	0.5619	0.6667	KLE-S-C-4A	27	0.8696	0.8311	0.8	KLE-S-C-4A	27	0.915
KLE-S-C-4A	28	0.4194	0.7097	1	KLE-S-C-4A	28	0.595	0.7071	0.8148	KLE-S-C-4A	28	0.96
KLE-S-C-4A	29	0.5243	0.595	0.6667	KLE-S-C-4A	29	0.573	0.6089	0.64	KLE-S-C-4A	29	0.84
KLE-S-C-4A	30	0.5002	0.5844	0.6667	KLE-S-C-4A	30	0.7129	0.6567	0.6	KLE-S-C-4A	30	0.533333333
KLE-S-C-4A	31	0.4731	0.7389	1	KLE-S-C-4A	31	0.3026	0.4055	0.5	KLE-S-C-4A	31	0.383333333
KLE-S-C-4A	32	0.4756	0.6062	0.75	KLE-S-C-4A	32	0.589	0.5941	0.6154	KLE-S-C-4A	32	0.626666667
KLE-S-C-4A	33	0.5807	0.7924	1	KLE-S-C-4A	33	0.8054	0.7172	0.625	KLE-S-C-4A	33	0.335
THUSAM-S-C-1A	1	0.5364	0.6057	0.6	THUSAM-S-C-1A	1	0.6962	0.6636	0.6429	THUSAM-S-C-1A	1	0.678095238
THUSAM-S-C-1A	2	0.3855	0.5003	0.6	THUSAM-S-C-1A	2	0.4151	0.6025	0.7857	THUSAM-S-C-1A	2	0.703571429
THUSAM-S-C-1A	3	0.4191	0.3647	0.4	THUSAM-S-C-1A	3	0.3237	0.4368	0.5385	THUSAM-S-C-1A	3	0.753333333
THUSAM-S-C-1A	4	0.3309	0.4159	0.5	THUSAM-S-C-1A	4	0.401	0.3081	0.2	THUSAM-S-C-1A	4	0.483492063
THUSAM-S-C-1A	5	0.375	0.4793	0.6	THUSAM-S-C-1A	5	0.5822	0.4743	0.381	THUSAM-S-C-1A	5	0.5875
THUSAM-S-C-1A	6	0.413	0.5131	0.6	THUSAM-S-C-1A	6	0.6776	0.5612	0.45	THUSAM-S-C-1A	6	0.845
THUSAM-S-C-1A	7	0.2502	0.6381	1	THUSAM-S-C-1A	7	0.5289	0.4065	0.3043	THUSAM-S-C-1A	7	0.24
THUSAM-S-C-1A	8	0.2961	0.6456	1	THUSAM-S-C-1A	8	0.8675	0.68	0.5	THUSAM-S-C-1A	8	0.7
THUSAM-S-C-1A	9	0.2229	0.3214	0.4	THUSAM-S-C-1A	9	0.3343	0.4297	0.5385	THUSAM-S-C-1A	9	0.660714286
THUSAM-S-C-1A	10	0.4894	0.6362	0.75	THUSAM-S-C-1A	10	0.5465	0.6806	0.8125	THUSAM-S-C-1A	10	0.640972222
THUSAM-S-C-1A	11	0.5873	0.6889	0.75	THUSAM-S-C-1A	11	0.5541	0.4329	0.3125	THUSAM-S-C-1A	11	0.333333333
THUSAM-S-C-1A	12	0.4368	0.7155	1	THUSAM-S-C-1A	12	0.6856	0.5705	0.4667	THUSAM-S-C-1A	12	0.751785714
THUSAM-S-C-1A	13	0.6078	0.7011	0.75	THUSAM-S-C-1A	13	0.8955	0.947	1	THUSAM-S-C-1A	13	0.653333333
THUSAM-S-C-1A	14	0.155	0.4515	0.75	THUSAM-S-C-1A	14	0.3263	0.3016	0.28	THUSAM-S-C-1A	14	0.741666667
THUSAM-S-C-1A	15	0.6319	0.7863	1	THUSAM-S-C-1A	15	0.5872	0.5866	0.5882	THUSAM-S-C-1A	15	0.716666667
THUSAM-S-C-1A	16	0.3877	0.3957	0.4	THUSAM-S-C-1A	16	0.2878	0.28	0.25	THUSAM-S-C-1A	16	0.382063492
THUSAM-S-C-1A	17	0	0	0	THUSAM-S-C-1A	17	0.2418	0.2981	0.35	THUSAM-S-C-1A	17	0
THUSAM-S-C-1A	18	0.1145	0.2103	0.3333	THUSAM-S-C-1A	18	0.49	0.4003	0.3333	THUSAM-S-C-1A	18	0.3375
THUSAM-S-C-1A	19	0.4937	0.4748	0.5	THUSAM-S-C-1A	19	0.6746	0.4184	0.1765	THUSAM-S-C-1A	19	0.56
THUSAM-S-C-1A	20	0.6512	0.6188	0.6	THUSAM-S-C-1A	20	0.5543	0.4266	0.3	THUSAM-S-C-1A	20	0.511111111
THUSAM-S-C-1A	21	0.3348	0.4981	0.6667	THUSAM-S-C-1A	21	0.3107	0.2388	0.16	THUSAM-S-C-1A	21	0.438888889
THUSAM-S-C-1A	22	0.2209	0.4722	0.75	THUSAM-S-C-1A	22	0.6465	0.5776	0.5	THUSAM-S-C-1A	22	0.64
THUSAM-S-C-1A	23	0.4626	0.7405	1	THUSAM-S-C-1A	23	0.7679	0.5655	0.375	THUSAM-S-C-1A	23	0.914285714
THUSAM-S-C-1A	24	0.2868	0.4768	0.6667	THUSAM-S-C-1A	24	0.3991	0.278	0.1714	THUSAM-S-C-1A	24	0.485
THUSAM-S-C-1A	25	0.3693	0.3217	0.2	THUSAM-S-C-1A	25	0.3643	0.3502	0.3636	THUSAM-S-C-1A	25	1
THUSAM-S-C-1A	26	0.2969	0.4448	0.6	THUSAM-S-C-1A	26	0.3121	0.4059	0.5	THUSAM-S-C-1A	26	0.375714286
THUSAM-S-C-1A	27	0.4996	0.7716	1	THUSAM-S-C-1A	27	0.7935	0.6909	0.6	THUSAM-S-C-1A	27	0.685
THUSAM-S-C-1A	28	0.3893	0.6906	1	THUSAM-S-C-1A	28	0.7258	0.4867	0.2593	THUSAM-S-C-1A	28	0.619444444
THUSAM-S-C-1A	29	0.2839	0.4883	0.6667	THUSAM-S-C-1A	29	0.7028	0.5903	0.48	THUSAM-S-C-1A	29	0.38
THUSAM-S-C-1A	30	0.2726	0.4667	0.6667	THUSAM-S-C-1A	30	0.4298	0.3538	0.28	THUSAM-S-C-1A	30	0.5
THUSAM-S-C-1A	31	0.2191	0.2986	0.3333	THUSAM-S-C-1A	31	0.2846	0.3151	0.3571	THUSAM-S-C-1A	31	0.6
THUSAM-S-C-1A	32	0.2381	0.3715	0.5	THUSAM-S-C-1A	32	0.6356	0.5325	0.4231	THUSAM-S-C-1A	32	0.32
THUSAM-S-C-1A	33	0.2275	0.6377	1	THUSAM-S-C-1A	33	0	0	0	THUSAM-S-C-1A	33	0
THUSAM-S-C-2A	1	0.5235	0.5958	0.6	THUSAM-S-C-2A	1	0.541	0.5133	0.5	THUSAM-S-C-2A	1	0.533333333
THUSAM-S-C-2A	2	0.2701	0.2215	0.2	THUSAM-S-C-2A	2	0.4446	0.3536	0.2857	THUSAM-S-C-2A	2	0.638095238
THUSAM-S-C-2A	3	0.1608	0.271	0.4	THUSAM-S-C-2A	3	0.436	0.5733	0.6923	THUSAM-S-C-2A	3	0.333333333
THUSAM-S-C-2A	4	0	0	0	THUSAM-S-C-2A	4	0.335	0.1939	0.075	THUSAM-S-C-2A	4	0
THUSAM-S-C-2A	5	0.3582	0.4842	0.6	THUSAM-S-C-2A	5	0.6777	0.5933	0.5238	THUSAM-S-C-2A	5	0.4
THUSAM-S-C-2A	6	0.4272	0.3821	0.4	THUSAM-S-C-2A	6	0.4387	0.4099	0.4	THUSAM-S-C-2A	6	0.733333333
THUSAM-S-C-2A	7	0.1828	0.3553	0.5	THUSAM-S-C-2A	7	0.4361	0.3579	0.3043	THUSAM-S-C-2A	7	0.175
THUSAM-S-C-2A	8	0.2226	0.3583	0.5	THUSAM-S-C-2A	8	0.682	0.583	0.5	THUSAM-S-C-2A	8	0.6
THUSAM-S-C-2A	9	0.2759	0.4391	0.6	THUSAM-S-C-2A	9	0.3479	0.4029	0.4615	THUSAM-S-C-2A	9	0.320833333
THUSAM-S-C-2A	10	0.3592	0.549	0.75	THUSAM-S-C-2A	10	0.6428	0.6623	0.6875	THUSAM-S-C-2A	10	0.36875
THUSAM-S-C-2A	11	0.3681	0.5519	0.75	THUSAM-S-C-2A	11	0.4458	0.4128	0.375	THUSAM-S-C-2A	11	0.55
THUSAM-S-C-2A	12	0.6707	0.8336	1	THUSAM-S-C-2A	12	0.7868	0.6576	0.5333	THUSAM-S-C-2A	12	0.8
THUSAM-S-C-2A	13	0.441	0.6945	1	THUSAM-S-C-2A	13	0.8312	0.913	1	THUSAM-S-C-2A	13	0.575
THUSAM-S-C-2A	14	0.1347	0.439	0.75	THUSAM-S-C-2A	14	0.41	0.3506	0.28	THUSAM-S-C-2A	14	0.6
THUSAM-S-C-2A	15	0.3363	0.5148	0.6667	THUSAM-S-C-2A	15	0.5481	0.6227	0.7059	THUSAM-S-C-2A	15	0.48125
THUSAM-S-C-2A	16	0.3937	0.5069	0.6	THUSAM-S-C-2A	16	0.3205	0.4354	0.5455	THUSAM-S-C-2A	16	0.525
THUSAM-S-C-2A	17	0	0	0	THUSAM-S-C-2A	17	0.3162	0.2967	0.3	THUSAM-S-C-2A	17	0
THUSAM-S-C-2A	18	0.1908	0.2607	0.3333	THUSAM-S-C-2A	18	0.5945	0.5371	0.5	THUSAM-S-C-2A	18	0.455753968
THUSAM-S-C-2A	19	0.2506	0.6226	1	THUSAM-S-C-2A	19	0.6665	0.4435	0.2353	THUSAM-S-C-2A	19	0.613888889
THUSAM-S-C-2A	20	0.5413	0.5734	0.6	THUSAM-S-C-2A	20	0.4922	0.4796	0.45	THUSAM-S-C-2A	20	0.4625
THUSAM-S-C-2A	21	0.1779	0.4183	0.6667	THUSAM-S-C-2A	21	0.25	0.3268	0.4	THUSAM-S-C-2A	21	0.158333333
THUSAM-S-C-2A	22	0.0909	0.1626	0.25	THUSAM-S-C-2A	22	0.0417	0.0442	0.0556	THUSAM-S-C-2A	22	0.166666667
THUSAM-S-C-2A	23	0.2385	0.6181	1	THUSAM-S-C-2A	23	0.7765	0.5697	0.375	THUSAM-S-C-2A	23	0.742857143
THUSAM-S-C-2A	24	0.2131	0.4362	0.6667	THUSAM-S-C-2A	24	0.4449	0.3277	0.2286	THUSAM-S-C-2A	24	0.5
THUSAM-S-C-2A	25	0.3461	0.2721	0.2	THUSAM-S-C-2A	25	0.9016	0.7725	0.6364	THUSAM-S-C-2A	25	0.76
THUSAM-S-C-2A	26	0.0791	0.1302	0.2	THUSAM-S-C-2A	26	0.4123	0.526	0.65	THUSAM-S-C-2A	26	0.2
THUSAM-S-C-2A	27	0.502	0.3984	0.3333	THUSAM-S-C-2A	27	0.8492	0.6203	0.4	THUSAM-S-C-2A	27	0.75
THUSAM-S-C-2A	28	0.1466	0.3315	0.5	THUSAM-S-C-2A	28	0.5264	0.4365	0.3704	THUSAM-S-C-2A	28	0.462962963
THUSAM-S-C-2A	29	0.3192	0.3264	0.3333	THUSAM-S-C-2A	29	0.5785	0.5232	0.48	THUSAM-S-C-2A	29	0.55
THUSAM-S-C-2A	30	0.1053	0.2112	0.3333	THUSAM-S-C-2A	30	0.3678	0.4342	0.52	THUSAM-S-C-2A	30	0.1875
THUSAM-S-C-2A	31	0.2191	0.2986	0.3333	THUSAM-S-C-2A	31	0.2627	0.3109	0.3571	THUSAM-S-C-2A	31	0.6
THUSAM-S-C-2A	32	0.0544	0.1512	0.25	THUSAM-S-C-2A	32	0.6054	0.6045	0.6154	THUSAM-S-C-2A	32	0.1
THUSAM-S-C-2A	33	0.2275	0.6377	1	THUSAM-S-C-2A	33	0	0	0	THUSAM-S-C-2A	33	0
THUSAM-S-C-3A	1	0.1656	0.2838	0.4	THUSAM-S-C-3A	1	0.7142	0.5691	0.4286	THUSAM-S-C-3A	1	0.32
THUSAM-S-C-3A	2	0.1125	0.2498	0.4	THUSAM-S-C-3A	2	0.5665	0.6316	0.7143	THUSAM-S-C-3A	2	0.25
THUSAM-S-C-3A	3	0.2131	0.3056	0.4	THUSAM-S-C-3A	3	0.2636	0.4012	0.5385	THUSAM-S-C-3A	3	0.1
THUSAM-S-C-3A	4	0.101	0.3063	0.5	THUSAM-S-C-3A	4	0.5118	0.4574	0.425	THUSAM-S-C-3A	4	0.32
THUSAM-S-C-3A	5	0.1407	0.3712	0.6	THUSAM-S-C-3A	5	0.6581	0.5604	0.4762	THUSAM-S-C-3A	5	0.025
THUSAM-S-C-3A	6	0.0766	0.2327	0.4	THUSAM-S-C-3A	6	0.4311	0.3801	0.35	THUSAM-S-C-3A	6	0.333333333
THUSAM-S-C-3A	7	0.2406	0.6182	1	THUSAM-S-C-3A	7	0.4949	0.4131	0.3478	THUSAM-S-C-3A	7	0.345
THUSAM-S-C-3A	8	0.2564	0.3758	0.5	THUSAM-S-C-3A	8	0.6055	0.5427	0.5	THUSAM-S-C-3A	8	0.625
THUSAM-S-C-3A	9	0.1878	0.2903	0.4	THUSAM-S-C-3A	9	0.2708	0.3669	0.4615	THUSAM-S-C-3A	9	0.466666667
THUSAM-S-C-3A	10	0.0262	0.1393	0.25	THUSAM-S-C-3A	10	0.4934	0.6232	0.75	THUSAM-S-C-3A	10	0.102222222
THUSAM-S-C-3A	11	0.1841	0.5877	1	THUSAM-S-C-3A	11	0.3979	0.3392	0.3125	THUSAM-S-C-3A	11	0.341666667
THUSAM-S-C-3A	12	0.1798	0.3377	0.5	THUSAM-S-C-3A	12	0.5477	0.4655	0.4	THUSAM-S-C-3A	12	0.166666667
THUSAM-S-C-3A	13	0.1565	0.5766	1	THUSAM-S-C-3A	13	0.5751	0.6093	0.6667	THUSAM-S-C-3A	13	0.3
THUSAM-S-C-3A	14	0.1319	0.4432	0.75	THUSAM-S-C-3A	14	0.4463	0.4491	0.48	THUSAM-S-C-3A	14	0.35
THUSAM-S-C-3A	15	0.2102	0.6077	1	THUSAM-S-C-3A	15	0.6321	0.6299	0.6471	THUSAM-S-C-3A	15	0.666666667
THUSAM-S-C-3A	16	0.1348	0.2646	0.4	THUSAM-S-C-3A	16	0.1645	0.1569	0.1591	THUSAM-S-C-3A	16	0.45
THUSAM-S-C-3A	17	0	0	0	THUSAM-S-C-3A	17	0.0626	0.0832	0.1	THUSAM-S-C-3A	17	0
THUSAM-S-C-3A	18	0.2256	0.4441	0.6667	THUSAM-S-C-3A	18	0.3036	0.2657	0.25	THUSAM-S-C-3A	18	0.15
THUSAM-S-C-3A	19	0.1799	0.3389	0.5	THUSAM-S-C-3A	19	0.492	0.3814	0.2941	THUSAM-S-C-3A	19	0.075
THUSAM-S-C-3A	20	0.1664	0.2823	0.4	THUSAM-S-C-3A	20	0.5142	0.4884	0.45	THUSAM-S-C-3A	20	0.375
THUSAM-S-C-3A	21	0.249	0.4579	0.6667	THUSAM-S-C-3A	21	0.1144	0.1177	0.12	THUSAM-S-C-3A	21	0.08
THUSAM-S-C-3A	22	0.095	0.1764	0.25	THUSAM-S-C-3A	22	0.4932	0.3216	0.1667	THUSAM-S-C-3A	22	0.125
THUSAM-S-C-3A	23	0.1411	0.5663	1	THUSAM-S-C-3A	23	0.4729	0.3478	0.25	THUSAM-S-C-3A	23	1
THUSAM-S-C-3A	24	0.1416	0.396	0.6667	THUSAM-S-C-3A	24	0.1948	0.2153	0.2571	THUSAM-S-C-3A	24	0.186666667
THUSAM-S-C-3A	25	0.2848	0.2421	0.2	THUSAM-S-C-3A	25	0.6202	0.6219	0.6364	THUSAM-S-C-3A	25	0.625
THUSAM-S-C-3A	26	0.2081	0.4051	0.6	THUSAM-S-C-3A	26	0.4768	0.454	0.45	THUSAM-S-C-3A	26	0.265396825
THUSAM-S-C-3A	27	0.0819	0.3749	0.6667	THUSAM-S-C-3A	27	0.5308	0.5528	0.6	THUSAM-S-C-3A	27	0.875
THUSAM-S-C-3A	28	0.1876	0.3428	0.5	THUSAM-S-C-3A	28	0.5484	0.467	0.4074	THUSAM-S-C-3A	28	0.302777778
THUSAM-S-C-3A	29	0.233	0.2816	0.3333	THUSAM-S-C-3A	29	0.2655	0.2812	0.32	THUSAM-S-C-3A	29	0.077777778
THUSAM-S-C-3A	30	0.1145	0.2141	0.3333	THUSAM-S-C-3A	30	0.3164	0.3238	0.36	THUSAM-S-C-3A	30	0.258333333
THUSAM-S-C-3A	31	0.1568	0.4102	0.6667	THUSAM-S-C-3A	31	0.2845	0.2387	0.2143	THUSAM-S-C-3A	31	0.277777778
THUSAM-S-C-3A	32	0.1242	0.313	0.5	THUSAM-S-C-3A	32	0.4812	0.382	0.3077	THUSAM-S-C-3A	32	1
THUSAM-S-C-3A	33	0.2275	0.6377	1	THUSAM-S-C-3A	33	0	0	0	THUSAM-S-C-3A	33	0
THUSAM-S-C-4A	1	0.1656	0.2838	0.4	THUSAM-S-C-4A	1	0.7142	0.5691	0.4286	THUSAM-S-C-4A	1	0.32
THUSAM-S-C-4A	2	0.1125	0.2498	0.4	THUSAM-S-C-4A	2	0.5665	0.6316	0.7143	THUSAM-S-C-4A	2	0.25
THUSAM-S-C-4A	3	0.2131	0.3056	0.4	THUSAM-S-C-4A	3	0.2636	0.4012	0.5385	THUSAM-S-C-4A	3	0.1
THUSAM-S-C-4A	4	0.101	0.3063	0.5	THUSAM-S-C-4A	4	0.5118	0.4574	0.425	THUSAM-S-C-4A	4	0.32
THUSAM-S-C-4A	5	0.1407	0.3712	0.6	THUSAM-S-C-4A	5	0.6581	0.5604	0.4762	THUSAM-S-C-4A	5	0.025
THUSAM-S-C-4A	6	0.0766	0.2327	0.4	THUSAM-S-C-4A	6	0.4311	0.3801	0.35	THUSAM-S-C-4A	6	0.333333333
THUSAM-S-C-4A	7	0.2406	0.6182	1	THUSAM-S-C-4A	7	0.4949	0.4131	0.3478	THUSAM-S-C-4A	7	0.345
THUSAM-S-C-4A	8	0.2564	0.3758	0.5	THUSAM-S-C-4A	8	0.6826	0.583	0.5	THUSAM-S-C-4A	8	0.625
THUSAM-S-C-4A	9	0.1878	0.2903	0.4	THUSAM-S-C-4A	9	0.2708	0.3669	0.4615	THUSAM-S-C-4A	9	0.466666667
THUSAM-S-C-4A	10	0.0262	0.1393	0.25	THUSAM-S-C-4A	10	0.4934	0.6232	0.75	THUSAM-S-C-4A	10	0.102222222
THUSAM-S-C-4A	11	0.1841	0.5877	1	THUSAM-S-C-4A	11	0.3979	0.3392	0.3125	THUSAM-S-C-4A	11	0.341666667
THUSAM-S-C-4A	12	0.1798	0.3377	0.5	THUSAM-S-C-4A	12	0.5477	0.4655	0.4	THUSAM-S-C-4A	12	0.166666667
THUSAM-S-C-4A	13	0.1565	0.5766	1	THUSAM-S-C-4A	13	0.5751	0.6093	0.6667	THUSAM-S-C-4A	13	0.3
THUSAM-S-C-4A	14	0.1319	0.4432	0.75	THUSAM-S-C-4A	14	0.4463	0.4491	0.48	THUSAM-S-C-4A	14	0.35
THUSAM-S-C-4A	15	0.2102	0.6077	1	THUSAM-S-C-4A	15	0.6321	0.6299	0.6471	THUSAM-S-C-4A	15	0.666666667
THUSAM-S-C-4A	16	0.1348	0.2646	0.4	THUSAM-S-C-4A	16	0.1645	0.1569	0.1591	THUSAM-S-C-4A	16	0.45
THUSAM-S-C-4A	17	0	0	0	THUSAM-S-C-4A	17	0.0626	0.0832	0.1	THUSAM-S-C-4A	17	0
THUSAM-S-C-4A	18	0.2256	0.4441	0.6667	THUSAM-S-C-4A	18	0.3036	0.2657	0.25	THUSAM-S-C-4A	18	0.15
THUSAM-S-C-4A	19	0.1799	0.3389	0.5	THUSAM-S-C-4A	19	0.492	0.3814	0.2941	THUSAM-S-C-4A	19	0.075
THUSAM-S-C-4A	20	0.1664	0.2823	0.4	THUSAM-S-C-4A	20	0.5142	0.4884	0.45	THUSAM-S-C-4A	20	0.375
THUSAM-S-C-4A	21	0.249	0.4579	0.6667	THUSAM-S-C-4A	21	0.1144	0.1177	0.12	THUSAM-S-C-4A	21	0.08
THUSAM-S-C-4A	22	0.095	0.1764	0.25	THUSAM-S-C-4A	22	0.4932	0.3216	0.1667	THUSAM-S-C-4A	22	0.125
THUSAM-S-C-4A	23	0.1411	0.5663	1	THUSAM-S-C-4A	23	0.4729	0.3478	0.25	THUSAM-S-C-4A	23	1
THUSAM-S-C-4A	24	0.1416	0.396	0.6667	THUSAM-S-C-4A	24	0.1948	0.2153	0.2571	THUSAM-S-C-4A	24	0.186666667
THUSAM-S-C-4A	25	0.2848	0.2421	0.2	THUSAM-S-C-4A	25	0.6202	0.6219	0.6364	THUSAM-S-C-4A	25	0.625
THUSAM-S-C-4A	26	0.2081	0.4051	0.6	THUSAM-S-C-4A	26	0.4768	0.454	0.45	THUSAM-S-C-4A	26	0.265396825
THUSAM-S-C-4A	27	0.0819	0.3749	0.6667	THUSAM-S-C-4A	27	0.5308	0.5528	0.6	THUSAM-S-C-4A	27	0.875
THUSAM-S-C-4A	28	0.1876	0.3428	0.5	THUSAM-S-C-4A	28	0.5484	0.467	0.4074	THUSAM-S-C-4A	28	0.302777778
THUSAM-S-C-4A	29	0.233	0.2816	0.3333	THUSAM-S-C-4A	29	0.2655	0.2812	0.32	THUSAM-S-C-4A	29	0.077777778
THUSAM-S-C-4A	30	0.1145	0.2141	0.3333	THUSAM-S-C-4A	30	0.3164	0.3238	0.36	THUSAM-S-C-4A	30	0.258333333
THUSAM-S-C-4A	31	0.1568	0.4102	0.6667	THUSAM-S-C-4A	31	0.2845	0.2387	0.2143	THUSAM-S-C-4A	31	0.277777778
THUSAM-S-C-4A	32	0.1242	0.313	0.5	THUSAM-S-C-4A	32	0.4812	0.382	0.3077	THUSAM-S-C-4A	32	1
THUSAM-S-C-4A	33	0.2275	0.6377	1	THUSAM-S-C-4A	33	0	0	0	THUSAM-S-C-4A	33	0
THUSAM-S-C-5A	1	0.5263	0.6977	0.8	THUSAM-S-C-5A	1	0.6813	0.6232	0.5714	THUSAM-S-C-5A	1	0.48
THUSAM-S-C-5A	2	0.2148	0.3132	0.4	THUSAM-S-C-5A	2	0.3818	0.4744	0.5714	THUSAM-S-C-5A	2	0.482638889
THUSAM-S-C-5A	3	0.2523	0.3152	0.4	THUSAM-S-C-5A	3	0.3619	0.5353	0.6923	THUSAM-S-C-5A	3	0.35
THUSAM-S-C-5A	4	0.229	0.3705	0.5	THUSAM-S-C-5A	4	0.5515	0.4195	0.3	THUSAM-S-C-5A	4	0.45
THUSAM-S-C-5A	5	0.4627	0.5557	0.6	THUSAM-S-C-5A	5	0.7261	0.6667	0.619	THUSAM-S-C-5A	5	0.645
