runname,id,coarse,fine,ndcg
FRDC-D-C-5A,0015,0.265,0.2432,0.765070203192
FRDC-D-C-5A,0016,0.0,0.0,0.0
FRDC-D-C-5A,0017,0.5126,0.442,0.50770483023
FRDC-D-C-5A,0018,0.0,0.0,0.50770483023
FRDC-D-C-5A,0019,0.0,0.0,0.0
FRDC-D-C-5A,0020,0.0,0.0,0.0
FRDC-D-C-5A,0021,0.8317,0.4384,0.619334963355
FRDC-D-C-5A,0022,0.4296,0.3827,0.619334963355
FRDC-D-C-5A,0023,0.0,0.0,0.548276029018
FRDC-D-C-5A,0024,0.6419,0.268,0.548276029018
FRDC-D-C-5A,0025,0.0,0.0,0.0
FRDC-D-C-5A,0026,0.7364,0.6194,0.806079578638
FRDC-D-C-5A,0027,0.8891,0.9177,0.859179951553
FRDC-D-C-5A,0028,0.6921,0.3997,0.859179951553
FRDC-D-C-5A,0029,0.0,0.0,0.859179951553
FRDC-D-C-5A,0030,0.8609,0.6107,0.796948024765
FRDC-D-C-5A,0031,0.3507,0.1921,0.796948024765
FRDC-D-C-5A,0032,0.5285,0.3093,0.796948024765
FRDC-D-C-5A,0033,0,0,0.0
FRDC-D-C-5A,0034,0,0,0.796948024765
FRDC-D-C-5A,0035,0,0,0.796948024765
FRDC-D-C-5A,0036,0,0,0.796948024765
FRDC-D-C-5A,0037,0,0,0.796948024765
FRDC-D-C-5A,0038,0,0,0.0
FRDC-D-C-5A,0039,0,0,0.487320368403
FRDC-D-C-5A,0040,0,0,0.486194002529
FRDC-D-C-5A,0041,0,0,0.486194002529
FRDC-D-C-5A,0042,0,0,0.486194002529
FRDC-D-C-5A,0043,0,0,0.486194002529
FRDC-D-C-5A,0044,0,0,0.462986355623
FRDC-D-C-5A,0045,0,0,0.462986355623
FRDC-D-C-5A,0046,0,0,0.529931065168
FRDC-D-C-5A,0047,0,0,0.453035593202
FRDC-D-C-5A,0048,0,0,0.453035593202
FRDC-D-C-5A,0049,0,0,0.526715205993
FRDC-D-C-5A,0050,0,0,0.526715205993
THUSAM-D-C-1A,0001,0.7238,0.5704,0.594207680054
THUSAM-D-C-1A,0002,0.3816,0.2616,0.46712438515
THUSAM-D-C-1A,0003,0.6084,0.4683,0.617743227008
THUSAM-D-C-1A,0004,0.9321,0.8166,1.0
THUSAM-D-C-1A,0005,0.7419,0.5633,0.807654589982
THUSAM-D-C-1A,0006,0.7294,0.5078,0.444245976969
THUSAM-D-C-1A,0007,0.644,0.517,0.566260473335
THUSAM-D-C-1A,0008,1.0,1.0,0.72960072822
THUSAM-D-C-1A,0009,0.6793,0.5128,0.637669101249
THUSAM-D-C-1A,0011,0.7369,0.5991,0.617354861732
THUSAM-D-C-1A,0012,0.8945,0.6677,0.705090635538
THUSAM-D-C-1A,0013,0.8167,0.8141,0.558754769351
THUSAM-D-C-1A,0014,0.6598,0.6894,0.742698025477
THUSAM-D-C-1A,0015,0.836,0.8117,0.824896947298
THUSAM-D-C-1A,0016,0.5938,0.575,0.774797766152
THUSAM-D-C-1A,0017,0.448,0.2866,0.446859479203
THUSAM-D-C-1A,0018,0.8235,0.7367,0.712941968165
THUSAM-D-C-1A,0019,0.8072,0.6096,0.615000795971
THUSAM-D-C-1A,0020,0.9785,0.8043,0.898072739562
THUSAM-D-C-1A,0021,0.7536,0.4557,0.520265588381
